year,month,day,day_of_year,tmax,tmin,precip,rained
2000,1,1,1,50,42,0.0,0
2000,1,2,2,54,39,0.0,0
2000,1,3,3,57,39,0.0,0
2000,1,4,4,55,44,0.0,0
2000,1,5,5,57,41,0.0,0
2000,1,6,6,58,36,0.0,0
2000,1,7,7,57,40,0.0,0
2000,1,8,8,59,45,0.0,0
2000,1,9,9,55,43,0.0,0
2000,1,10,10,56,46,0.0,0
2000,1,11,11,54,46,9.9,1
2000,1,12,12,55,43,0.0,0
2000,1,13,13,58,45,0.0,0
2000,1,14,14,60,49,0.0,0
2000,1,15,15,66,49,0.1,1
2000,1,16,16,57,47,11.4,1
2000,1,17,17,56,46,7.1,1
2000,1,18,18,59,52,25.8,1
2000,1,19,19,61,52,6.6,1
2000,1,20,20,57,50,0.0,0
2000,1,21,21,58,47,0.2,1
2000,1,22,22,61,48,2.3,1
2000,1,23,23,55,51,39.2,1
2000,1,24,24,57,54,49.2,1
2000,1,25,25,58,47,3.9,1
2000,1,26,26,56,44,0.0,0
2000,1,27,27,58,44,0.0,0
2000,1,28,28,58,37,0.0,0
2000,1,29,29,59,44,0.0,0
2000,1,30,30,55,47,19.2,1
2000,1,31,31,53,47,0.4,1
2000,2,1,32,63,48,0.0,0
2000,2,2,33,70,42,0.0,0
2000,2,3,34,61,44,12.6,1
2000,2,4,35,58,45,0.0,0
2000,2,5,36,58,46,7.6,1
2000,2,6,37,66,45,0.0,0
2000,2,7,38,67,44,0.0,0
2000,2,8,39,66,50,0.0,0
2000,2,9,40,59,50,3.9,1
2000,2,10,41,54,48,21.0,1
2000,2,11,42,54,45,27.2,1
2000,2,12,43,55,44,6.9,1
2000,2,13,44,57,50,53.6,1
2000,2,14,45,58,49,18.0,1
2000,2,15,46,60,42,0.0,0
2000,2,16,47,54,46,9.7,1
2000,2,17,48,57,42,0.0,0
2000,2,18,49,62,44,0.0,0
2000,2,19,50,67,42,0.1,1
2000,2,20,51,62,50,23.3,1
2000,2,21,52,61,46,1.3,1
2000,2,22,53,54,46,15.3,1
2000,2,23,54,52,45,10.7,1
2000,2,24,55,51,44,4.5,1
2000,2,25,56,58,44,0.0,0
2000,2,26,57,58,49,2.3,1
2000,2,27,58,54,47,33.2,1
2000,2,28,59,55,44,0.0,0
2000,2,29,60,55,44,8.9,1
2000,3,1,61,61,41,0.0,0
2000,3,2,62,54,46,5.1,1
2000,3,3,63,62,42,0.0,0
2000,3,4,64,58,45,7.3,1
2000,3,5,65,52,44,11.3,1
2000,3,6,66,55,43,0.0,0
2000,3,7,67,53,43,14.7,1
2000,3,8,68,52,41,22.2,1
2000,3,9,69,58,43,5.1,1
2000,3,10,70,63,45,0.0,0
2000,3,11,71,62,47,0.0,0
2000,3,12,72,64,46,0.0,0
2000,3,13,73,64,47,0.0,0
2000,3,14,74,69,48,0.0,0
2000,3,15,75,71,48,0.0,0
2000,3,16,76,63,46,0.0,0
2000,3,17,77,68,42,0.0,0
2000,3,18,78,70,52,0.0,0
2000,3,19,79,59,46,0.0,0
2000,3,20,80,61,43,0.0,0
2000,3,21,81,68,42,0.0,0
2000,3,22,82,70,51,0.0,0
2000,3,23,83,63,47,0.0,0
2000,3,24,84,60,46,0.0,0
2000,3,25,85,61,43,0.0,0
2000,3,26,86,62,43,0.0,0
2000,3,27,87,53,44,0.0,0
2000,3,28,88,59,42,0.0,0
2000,3,29,89,62,43,0.0,0
2000,3,30,90,71,48,0.0,0
2000,3,31,91,76,44,0.0,0
2000,4,1,92,80,48,0.0,0
2000,4,2,93,84,62,0.0,0
2000,4,3,94,78,54,0.0,0
2000,4,4,95,67,49,0.0,0
2000,4,5,96,65,47,0.0,0
2000,4,6,97,68,46,0.0,0
2000,4,7,98,73,48,0.0,0
2000,4,8,99,63,48,0.0,0
2000,4,9,100,63,47,0.0,0
2000,4,10,101,71,47,0.0,0
2000,4,11,102,77,50,0.4,1
2000,4,12,103,74,53,0.8,1
2000,4,13,104,64,53,13.3,1
2000,4,14,105,62,51,9.4,1
2000,4,15,106,60,50,0.7,1
2000,4,16,107,62,52,15.7,1
2000,4,17,108,58,49,20.9,1
2000,4,18,109,64,50,0.0,0
2000,4,19,110,65,50,0.0,0
2000,4,20,111,71,50,0.0,0
2000,4,21,112,65,49,0.0,0
2000,4,22,113,59,47,2.0,1
2000,4,23,114,61,42,0.0,0
2000,4,24,115,70,47,0.0,0
2000,4,25,116,67,46,0.0,0
2000,4,26,117,78,52,0.0,0
2000,4,27,118,64,48,0.0,0
2000,4,28,119,62,46,0.0,0
2000,4,29,120,69,45,0.0,0
2000,4,30,121,74,48,0.0,0
2000,5,1,122,73,48,0.0,0
2000,5,2,123,71,53,0.0,0
2000,5,3,124,71,49,0.0,0
2000,5,4,125,68,49,0.0,0
2000,5,5,126,64,47,0.0,0
2000,5,6,127,60,44,0.0,0
2000,5,7,128,57,50,3.2,1
2000,5,8,129,66,53,3.9,1
2000,5,9,130,64,49,0.0,0
2000,5,10,131,58,48,0.4,1
2000,5,11,132,65,42,0.0,0
2000,5,12,133,67,47,0.0,0
2000,5,13,134,67,50,0.0,0
2000,5,14,135,61,45,7.2,1
2000,5,15,136,62,51,18.3,1
2000,5,16,137,61,49,1.6,1
2000,5,17,138,69,50,0.0,0
2000,5,18,139,76,54,0.0,0
2000,5,19,140,85,56,0.0,0
2000,5,20,141,88,62,0.0,0
2000,5,21,142,96,73,0.0,0
2000,5,22,143,95,72,0.0,0
2000,5,23,144,88,60,0.0,0
2000,5,24,145,73,56,0.0,0
2000,5,25,146,67,49,0.0,0
2000,5,26,147,72,51,0.0,0
2000,5,27,148,76,53,0.0,0
2000,5,28,149,78,55,0.0,0
2000,5,29,150,71,48,0.0,0
2000,5,30,151,69,46,0.0,0
2000,5,31,152,79,50,0.0,0
2000,6,1,153,83,60,0.0,0
2000,6,2,154,77,54,0.0,0
2000,6,3,155,77,52,0.0,0
2000,6,4,156,76,52,0.0,0
2000,6,5,157,71,49,0.0,0
2000,6,6,158,74,51,0.0,0
2000,6,7,159,68,53,1.6,1
2000,6,8,160,64,53,5.6,1
2000,6,9,161,67,50,0.0,0
2000,6,10,162,67,49,0.0,0
2000,6,11,163,74,47,0.0,0
2000,6,12,164,80,55,0.0,0
2000,6,13,165,96,58,0.0,0
2000,6,14,166,105,70,0.0,0
2000,6,15,167,90,65,0.0,0
2000,6,16,168,85,61,0.0,0
2000,6,17,169,78,57,0.0,0
2000,6,18,170,74,56,0.0,0
2000,6,19,171,80,55,0.0,0
2000,6,20,172,88,62,0.0,0
