year,month,day,day_of_year,tmax,tmin,precip,rained
1980,1,1,1,58,46,0.0,0
1980,1,2,2,57,44,0.0,0
1980,1,3,3,60,40,0.0,0
1980,1,4,4,60,45,0.3,1
1980,1,5,5,54,45,0.0,0
1980,1,6,6,54,46,0.1,1
1980,1,7,7,57,50,0.5,1
1980,1,8,8,57,49,0.0,0
1980,1,9,9,58,48,13.2,1
1980,1,10,10,51,46,5.5,1
1980,1,11,11,61,48,25.5,1
1980,1,12,12,62,56,47.5,1
1980,1,13,13,60,57,52.6,1
1980,1,14,14,59,52,27.3,1
1980,1,15,15,54,48,4.5,1
1980,1,16,16,58,48,6.4,1
1980,1,17,17,55,44,2.2,1
1980,1,18,18,49,36,0.0,0
1980,1,19,19,49,31,0.0,0
1980,1,20,20,53,38,0.0,0
1980,1,21,21,57,39,0.0,0
1980,1,22,22,61,37,0.0,0
1980,1,23,23,62,38,0.0,0
1980,1,24,24,62,41,0.0,0
1980,1,25,25,59,42,0.0,0
1980,1,26,26,54,41,0.0,0
1980,1,27,27,49,38,0.0,0
1980,1,28,28,46,36,0.0,0
1980,1,29,29,45,30,0.0,0
1980,1,30,30,52,34,0.0,0
1980,1,31,31,58,38,0.0,0
1980,2,1,32,60,40,0.0,0
1980,2,2,33,60,46,0.0,0
1980,2,3,34,62,47,0.0,0
1980,2,4,35,65,46,0.0,0
1980,2,5,36,63,44,0.0,0
1980,2,6,37,61,46,0.0,0
1980,2,7,38,59,41,0.0,0
1980,2,8,39,58,41,0.0,0
1980,2,9,40,61,44,0.0,0
1980,2,10,41,59,46,0.0,0
1980,2,11,42,57,44,0.0,0
1980,2,12,43,61,43,0.0,0
1980,2,13,44,64,40,3.6,1
1980,2,14,45,57,47,15.6,1
1980,2,15,46,58,50,32.5,1
1980,2,16,47,59,53,47.3,1
1980,2,17,48,62,53,34.8,1
1980,2,18,49,60,55,49.4,1
1980,2,19,50,58,50,41.9,1
1980,2,20,51,59,46,12.3,1
1980,2,21,52,57,46,8.5,1
1980,2,22,53,58,43,6.1,1
1980,2,23,54,63,48,0.0,0
1980,2,24,55,65,49,1.6,1
1980,2,25,56,69,53,1.4,1
1980,2,26,57,70,52,0.0,0
1980,2,27,58,65,51,9.9,1
1980,2,28,59,62,49,4.8,1
1980,2,29,60,64,49,0.0,0
1980,3,1,61,60,49,0.0,0
1980,3,2,62,58,47,11.0,1
1980,3,3,63,57,47,2.5,1
1980,3,4,64,59,43,3.2,1
1980,3,5,65,56,45,28.6,1
1980,3,6,66,56,43,0.3,1
1980,3,7,67,59,43,0.0,0
1980,3,8,68,64,44,0.0,0
1980,3,9,69,68,44,0.0,0
1980,3,10,70,69,46,0.0,0
1980,3,11,71,55,44,1.7,1
1980,3,12,72,57,40,0.0,0
1980,3,13,73,60,44,0.0,0
1980,3,14,74,59,44,3.5,1
1980,3,15,75,55,42,0.6,1
1980,3,16,76,58,37,0.0,0
1980,3,17,77,58,44,0.0,0
1980,3,18,78,61,42,0.6,1
1980,3,19,79,66,41,0.0,0
1980,3,20,80,56,42,0.0,0
1980,3,21,81,58,42,0.3,1
1980,3,22,82,66,40,0.0,0
