year,month,day,day_of_year,tmax,tmin,precip,rained
1977,1,1,1,55,46,0.9,1
1977,1,2,2,54,45,35.6,1
1977,1,3,3,53,43,3.9,1
1977,1,4,4,52,40,0.0,0
1977,1,5,5,49,39,4.1,1
1977,1,6,6,53,33,0.0,0
1977,1,7,7,54,40,0.0,0
1977,1,8,8,49,41,0.0,0
1977,1,9,9,52,40,0.0,0
1977,1,10,10,53,38,0.0,0
1977,1,11,11,57,40,0.0,0
1977,1,12,12,55,43,0.2,1
1977,1,13,13,55,36,0.0,0
1977,1,14,14,56,35,0.0,0
1977,1,15,15,58,36,0.0,0
1977,1,16,16,62,35,0.0,0
1977,1,17,17,65,34,0.0,0
1977,1,18,18,65,37,0.0,0
1977,1,19,19,67,38,0.0,0
1977,1,20,20,64,47,0.0,0
1977,1,21,21,62,47,3.7,1
1977,1,22,22,64,48,7.6,1
1977,1,23,23,64,47,0.0,0
1977,1,24,24,64,43,0.0,0
1977,1,25,25,61,43,0.0,0
1977,1,26,26,65,43,0.0,0
1977,1,27,27,63,43,0.0,0
1977,1,28,28,64,41,0.0,0
1977,1,29,29,62,42,0.0,0
1977,1,30,30,60,41,0.0,0
1977,1,31,31,60,46,0.0,0
1977,2,1,32,59,43,0.0,0
1977,2,2,33,60,44,0.0,0
1977,2,3,34,60,43,0.0,0
1977,2,4,35,63,41,0.0,0
1977,2,5,36,62,46,0.0,0
1977,2,6,37,64,48,0.0,0
1977,2,7,38,65,44,0.0,0
1977,2,8,39,58,49,8.7,1
1977,2,9,40,59,46,0.0,0
1977,2,10,41,64,47,0.0,0
1977,2,11,42,69,47,0.0,0
1977,2,12,43,71,52,0.0,0
1977,2,13,44,74,52,0.0,0
1977,2,14,45,75,47,0.0,0
1977,2,15,46,77,49,0.0,0
1977,2,16,47,76,56,0.0,0
1977,2,17,48,76,55,0.0,0
1977,2,18,49,77,52,0.0,0
1977,2,19,50,69,52,0.0,0
1977,2,20,51,58,47,4.3,1
1977,2,21,52,56,48,12.3,1
1977,2,22,53,59,48,0.4,1
1977,2,23,54,57,47,1.1,1
1977,2,24,55,57,42,0.0,0
1977,2,25,56,60,43,0.0,0
1977,2,26,57,64,46,0.0,0
1977,2,27,58,63,46,0.0,0
1977,2,28,59,55,44,0.3,1
1977,3,1,60,55,39,0.2,1
1977,3,2,61,59,38,0.0,0
1977,3,3,62,61,44,0.0,0
1977,3,4,63,65,38,0.0,0
1977,3,5,64,67,46,0.0,0
1977,3,6,65,65,48,0.0,0
