year,month,day,day_of_year,tmax,tmin,precip,rained
2005,1,1,1,52,42,8.5,1
2005,1,2,2,50,42,18.9,1
2005,1,3,3,51,43,0.2,1
2005,1,4,4,53,40,0.3,1
2005,1,5,5,53,41,0.5,1
2005,1,6,6,55,41,0.3,1
2005,1,7,7,55,45,28.6,1
2005,1,8,8,52,45,24.9,1
2005,1,9,9,56,44,0.7,1
2005,1,10,10,56,45,10.9,1
2005,1,11,11,53,44,15.3,1
2005,1,12,12,56,42,0.0,0
2005,1,13,13,49,34,0.0,0
2005,1,14,14,57,34,0.0,0
2005,1,15,15,62,35,0.0,0
2005,1,16,16,64,41,0.0,0
2005,1,17,17,63,40,0.0,0
2005,1,18,18,66,39,0.0,0
2005,1,19,19,69,38,0.0,0
2005,1,20,20,72,45,0.0,0
2005,1,21,21,66,51,0.0,0
2005,1,22,22,66,44,0.0,0
2005,1,23,23,67,46,0.0,0
2005,1,24,24,68,45,0.0,0
2005,1,25,25,63,49,11.3,1
2005,1,26,26,58,48,13.4,1
2005,1,27,27,57,45,7.7,1
2005,1,28,28,56,46,17.9,1
2005,1,29,29,56,42,0.0,0
2005,1,30,30,58,40,0.0,0
2005,1,31,31,61,43,0.0,0
2005,2,1,32,65,38,0.0,0
2005,2,2,33,65,39,0.0,0
2005,2,3,34,64,45,0.0,0
2005,2,4,35,64,48,0.0,0
2005,2,5,36,59,48,0.0,0
2005,2,6,37,57,46,0.0,0
2005,2,7,38,55,47,1.9,1
2005,2,8,39,55,45,0.0,0
2005,2,9,40,63,45,0.0,0
2005,2,10,41,67,41,0.0,0
2005,2,11,42,61,47,4.3,1
2005,2,12,43,64,47,0.0,0
2005,2,13,44,58,48,0.0,0
2005,2,14,45,60,47,4.0,1
2005,2,15,46,58,50,24.5,1
2005,2,16,47,62,49,0.0,0
2005,2,17,48,62,48,8.9,1
2005,2,18,49,63,49,9.9,1
2005,2,19,50,58,48,13.4,1
2005,2,20,51,61,48,14.0,1
2005,2,21,52,63,49,6.0,1
2005,2,22,53,64,46,3.8,1
2005,2,23,54,62,48,0.0,0
2005,2,24,55,58,46,0.0,0
2005,2,25,56,59,46,0.0,0
2005,2,26,57,59,42,0.6,1
2005,2,27,58,60,50,16.4,1
2005,2,28,59,63,44,0.4,1
2005,3,1,60,61,48,2.4,1
2005,3,2,61,62,50,5.0,1
2005,3,3,62,60,46,5.1,1
2005,3,4,63,58,49,6.6,1
2005,3,5,64,67,48,0.0,0
2005,3,6,65,70,48,0.0,0
2005,3,7,66,69,52,0.0,0
2005,3,8,67,72,51,0.0,0
2005,3,9,68,75,56,0.0,0
2005,3,10,69,76,56,0.0,0
2005,3,11,70,83,51,0.0,0
2005,3,12,71,68,54,0.0,0
2005,3,13,72,61,50,0.0,0
2005,3,14,73,68,46,0.0,0
2005,3,15,74,71,54,0.0,0
2005,3,16,75,69,50,0.0,0
2005,3,17,76,66,52,0.0,0
2005,3,18,77,60,52,3.4,1
2005,3,19,78,62,50,16.1,1
2005,3,20,79,61,49,17.9,1
2005,3,21,80,62,48,9.6,1
2005,3,22,81,57,49,34.8,1
2005,3,23,82,57,48,6.8,1
2005,3,24,83,60,46,0.2,1
2005,3,25,84,60,46,0.0,0
2005,3,26,85,66,48,0.0,0
2005,3,27,86,60,48,12.5,1
2005,3,28,87,57,46,1.8,1
2005,3,29,88,58,45,4.1,1
2005,3,30,89,65,42,0.0,0
2005,3,31,90,71,45,0.0,0
2005,4,1,91,72,54,0.0,0
2005,4,2,92,62,45,0.0,0
2005,4,3,93,55,44,7.7,1
2005,4,4,94,61,43,0.8,1
2005,4,5,95,70,47,0.0,0
2005,4,6,96,70,51,0.0,0
2005,4,7,97,58,46,8.2,1
2005,4,8,98,57,44,16.8,1
2005,4,9,99,65,47,0.9,1
2005,4,10,100,68,47,0.0,0
2005,4,11,101,60,44,0.0,0
2005,4,12,102,58,39,0.0,0
2005,4,13,103,59,41,0.0,0
2005,4,14,104,63,38,0.0,0
2005,4,15,105,69,47,0.0,0
2005,4,16,106,70,51,0.0,0
2005,4,17,107,61,46,0.0,0
2005,4,18,108,63,42,0.0,0
2005,4,19,109,67,43,0.0,0
2005,4,20,110,65,48,0.0,0
2005,4,21,111,72,48,0.0,0
2005,4,22,112,75,52,0.3,1
2005,4,23,113,61,50,2.2,1
2005,4,24,114,62,49,1.1,1
2005,4,25,115,66,46,0.0,0
2005,4,26,116,70,51,0.0,0
2005,4,27,117,63,50,4.2,1
2005,4,28,118,63,52,14.4,1
2005,4,29,119,67,48,0.0,0
2005,4,30,120,64,51,0.0,0
2005,5,1,121,68,52,0.5,1
2005,5,2,122,69,52,0.0,0
2005,5,3,123,69,52,0.0,0
2005,5,4,124,67,53,4.1,1
2005,5,5,125,64,55,7.8,1
2005,5,6,126,64,53,1.0,1
2005,5,7,127,66,52,0.0,0
2005,5,8,128,64,52,9.6,1
2005,5,9,129,62,49,11.0,1
2005,5,10,130,65,48,0.0,0
2005,5,11,131,70,51,0.0,0
2005,5,12,132,74,53,0.0,0
2005,5,13,133,73,54,0.1,1
2005,5,14,134,73,54,0.0,0
2005,5,15,135,73,58,0.8,1
2005,5,16,136,64,51,1.1,1
2005,5,17,137,65,49,0.0,0
2005,5,18,138,66,54,0.0,0
2005,5,19,139,68,56,1.0,1
2005,5,20,140,70,50,0.0,0
2005,5,21,141,76,51,0.0,0
2005,5,22,142,76,53,0.0,0
2005,5,23,143,77,49,0.0,0
2005,5,24,144,82,57,0.0,0
2005,5,25,145,82,61,0.0,0
2005,5,26,146,80,57,0.0,0
2005,5,27,147,74,54,0.0,0
2005,5,28,148,66,52,0.0,0
2005,5,29,149,68,52,0.0,0
2005,5,30,150,76,52,0.0,0
2005,5,31,151,78,56,0.0,0
2005,6,1,152,80,55,0.0,0
2005,6,2,153,78,58,0.0,0
2005,6,3,154,78,55,0.0,0
2005,6,4,155,73,52,0.0,0
2005,6,5,156,66,48,0.0,0
2005,6,6,157,66,46,0.0,0
2005,6,7,158,68,46,0.0,0
2005,6,8,159,64,52,1.1,1
2005,6,9,160,70,56,3.5,1
2005,6,10,161,73,55,0.0,0
2005,6,11,162,73,52,0.0,0
2005,6,12,163,81,52,0.0,0
2005,6,13,164,88,62,0.0,0
2005,6,14,165,81,58,0.0,0
2005,6,15,166,77,50,0.0,0
2005,6,16,167,62,50,1.7,1
2005,6,17,168,66,52,1.0,1
2005,6,18,169,69,52,0.6,1
2005,6,19,170,73,55,0.0,0
2005,6,20,171,74,53,0.0,0
2005,6,21,172,73,52,0.0,0
2005,6,22,173,78,50,0.0,0
2005,6,23,174,74,55,0.0,0
2005,6,24,175,74,55,0.0,0
2005,6,25,176,72,53,0.0,0
2005,6,26,177,73,55,0.0,0
2005,6,27,178,72,53,0.0,0
2005,6,28,179,75,55,0.0,0
2005,6,29,180,87,61,0.0,0
2005,6,30,181,90,67,0.0,0
2005,7,1,182,87,64,0.0,0
2005,7,2,183,80,58,0.0,0
2005,7,3,184,81,54,0.0,0
2005,7,4,185,81,55,0.0,0
2005,7,5,186,75,55,0.0,0
2005,7,6,187,79,56,0.0,0
2005,7,7,188,78,55,0.0,0
2005,7,8,189,74,53,0.0,0
2005,7,9,190,74,57,0.0,0
2005,7,10,191,78,55,0.0,0
