year,month,day,day_of_year,tmax,tmin,precip,rained
1975,1,1,1,51,34,0.0,0
1975,1,2,2,50,33,0.0,0
1975,1,3,3,53,32,0.0,0
1975,1,4,4,53,40,1.0,1
1975,1,5,5,55,41,0.3,1
1975,1,6,6,53,47,5.1,1
1975,1,7,7,54,48,0.9,1
1975,1,8,8,52,43,7.1,1
1975,1,9,9,50,34,0.0,0
1975,1,10,10,53,42,0.1,1
1975,1,11,11,57,39,0.0,0
1975,1,12,12,61,36,0.0,0
1975,1,13,13,67,34,0.0,0
1975,1,14,14,70,37,0.0,0
1975,1,15,15,71,39,0.0,0
1975,1,16,16,69,44,0.0,0
1975,1,17,17,68,41,0.0,0
1975,1,18,18,68,40,0.0,0
1975,1,19,19,68,38,0.0,0
1975,1,20,20,68,40,0.0,0
1975,1,21,21,66,40,0.0,0
1975,1,22,22,65,41,0.0,0
1975,1,23,23,65,42,0.0,0
1975,1,24,24,68,42,0.0,0
1975,1,25,25,66,44,0.0,0
1975,1,26,26,52,41,0.0,0
1975,1,27,27,51,36,0.0,0
1975,1,28,28,51,37,2.1,1
1975,1,29,29,48,31,0.0,0
1975,1,30,30,49,38,0.0,0
1975,1,31,31,51,34,26.7,1
1975,2,1,32,54,46,46.1,1
1975,2,2,33,52,42,30.0,1
1975,2,3,34,54,42,11.3,1
1975,2,4,35,52,45,9.0,1
1975,2,5,36,55,43,1.1,1
1975,2,6,37,59,44,5.3,1
1975,2,7,38,58,49,13.0,1
1975,2,8,39,62,49,15.6,1
1975,2,9,40,56,51,28.9,1
1975,2,10,41,58,49,4.0,1
1975,2,11,42,59,43,0.0,0
1975,2,12,43,52,42,21.3,1
1975,2,13,44,58,44,13.2,1
1975,2,14,45,55,37,0.0,0
1975,2,15,46,54,33,0.0,0
1975,2,16,47,51,37,0.0,0
1975,2,17,48,56,34,0.0,0
1975,2,18,49,56,40,0.0,0
1975,2,19,50,52,48,8.8,1
1975,2,20,51,54,38,0.0,0
1975,2,21,52,53,31,0.0,0
1975,2,22,53,57,33,0.0,0
1975,2,23,54,62,36,0.0,0
1975,2,24,55,66,42,0.0,0
1975,2,25,56,69,50,0.0,0
1975,2,26,57,61,47,0.0,0
1975,2,27,58,69,47,0.0,0
1975,2,28,59,71,49,0.0,0
1975,3,1,60,54,46,2.0,1
1975,3,2,61,61,44,0.5,1
1975,3,3,62,69,38,0.0,0
1975,3,4,63,63,47,0.7,1
1975,3,5,64,55,45,8.1,1
1975,3,6,65,60,47,4.9,1
1975,3,7,66,58,52,46.4,1
1975,3,8,67,60,48,9.6,1
1975,3,9,68,53,44,0.8,1
1975,3,10,69,54,43,10.4,1
1975,3,11,70,61,44,1.4,1
1975,3,12,71,59,45,0.0,0
1975,3,13,72,50,40,19.8,1
1975,3,14,73,57,37,1.2,1
1975,3,15,74,51,42,7.1,1
1975,3,16,75,54,40,5.6,1
1975,3,17,76,57,41,0.0,0
1975,3,18,77,60,44,0.0,0
1975,3,19,78,56,44,1.4,1
1975,3,20,79,54,37,0.0,0
1975,3,21,80,50,40,20.8,1
1975,3,22,81,54,40,6.3,1
1975,3,23,82,59,44,0.1,1
1975,3,24,83,58,50,2.0,1
1975,3,25,84,58,48,17.3,1
1975,3,26,85,57,42,0.0,0
1975,3,27,86,58,38,0.0,0
1975,3,28,87,56,34,0.0,0
1975,3,29,88,62,37,0.0,0
1975,3,30,89,67,46,0.0,0
1975,3,31,90,59,43,0.0,0
1975,4,1,91,61,38,0.0,0
1975,4,2,92,59,44,0.0,0
1975,4,3,93,55,45,1.9,1
1975,4,4,94,53,41,19.3,1
1975,4,5,95,52,41,23.9,1
1975,4,6,96,52,38,4.3,1
1975,4,7,97,53,39,3.4,1
1975,4,8,98,55,42,2.2,1
1975,4,9,99,62,40,0.0,0
1975,4,10,100,57,43,0.0,0
1975,4,11,101,63,45,0.0,0
1975,4,12,102,69,49,0.0,0
1975,4,13,103,59,46,0.0,0
1975,4,14,104,51,43,1.7,1
1975,4,15,105,55,42,1.8,1
1975,4,16,106,54,43,1.5,1
1975,4,17,107,59,40,0.0,0
1975,4,18,108,57,41,0.0,0
1975,4,19,109,61,44,0.0,0
1975,4,20,110,71,48,0.0,0
1975,4,21,111,65,45,0.0,0
1975,4,22,112,52,43,0.0,0
1975,4,23,113,60,44,0.3,1
1975,4,24,114,57,46,7.3,1
1975,4,25,115,56,43,1.7,1
1975,4,26,116,62,39,0.0,0
1975,4,27,117,65,46,0.0,0
1975,4,28,118,68,47,0.0,0
1975,4,29,119,70,51,0.0,0
1975,4,30,120,66,47,0.0,0
1975,5,1,121,64,47,0.0,0
1975,5,2,122,61,45,0.0,0
1975,5,3,123,56,45,1.8,1
1975,5,4,124,57,38,0.0,0
1975,5,5,125,63,41,0.0,0
1975,5,6,126,66,46,0.0,0
1975,5,7,127,65,44,0.0,0
1975,5,8,128,66,46,0.0,0
1975,5,9,129,68,47,0.0,0
1975,5,10,130,68,48,0.0,0
1975,5,11,131,71,51,0.0,0
1975,5,12,132,82,52,0.0,0
1975,5,13,133,78,57,0.0,0
1975,5,14,134,64,48,0.0,0
