year,month,day,day_of_year,tmax,tmin,precip,rained
1962,1,1,1,60,45,0.0,0
1962,1,2,2,62,43,0.0,0
1962,1,3,3,59,40,0.0,0
1962,1,4,4,58,38,0.0,0
1962,1,5,5,62,36,0.0,0
1962,1,6,6,69,40,0.0,0
1962,1,7,7,69,45,0.0,0
1962,1,8,8,66,42,0.0,0
1962,1,9,9,66,40,0.0,0
1962,1,10,10,63,38,0.0,0
1962,1,11,11,62,41,0.0,0
1962,1,12,12,51,42,3.0,1
1962,1,13,13,51,38,0.0,0
1962,1,14,14,52,39,0.0,0
1962,1,15,15,52,38,0.0,0
1962,1,16,16,54,37,0.0,0
1962,1,17,17,52,39,0.0,0
1962,1,18,18,50,40,0.0,0
1962,1,19,19,52,44,29.6,1
1962,1,20,20,50,37,5.9,1
1962,1,21,21,41,32,5.8,1
1962,1,22,22,44,26,1.1,1
1962,1,23,23,51,28,0.0,0
1962,1,24,24,51,30,0.0,0
1962,1,25,25,56,34,0.0,0
1962,1,26,26,57,34,0.0,0
1962,1,27,27,64,34,0.0,0
1962,1,28,28,67,37,0.0,0
1962,1,29,29,70,38,0.0,0
1962,1,30,30,71,40,0.0,0
1962,1,31,31,70,44,0.0,0
1962,2,1,32,70,43,0.0,0
1962,2,2,33,68,48,0.0,0
1962,2,3,34,64,49,0.0,0
1962,2,4,35,61,45,0.0,0
1962,2,5,36,58,43,0.0,0
1962,2,6,37,57,46,3.4,1
1962,2,7,38,57,44,4.4,1
1962,2,8,39,55,46,4.5,1
1962,2,9,40,57,50,35.2,1
1962,2,10,41,56,49,3.4,1
1962,2,11,42,58,49,4.3,1
1962,2,12,43,58,42,6.7,1
1962,2,13,44,58,51,21.4,1
1962,2,14,45,60,51,13.8,1
1962,2,15,46,56,44,13.4,1
1962,2,16,47,55,45,13.7,1
1962,2,17,48,54,43,0.2,1
1962,2,18,49,54,43,19.0,1
1962,2,19,50,52,42,0.4,1
1962,2,20,51,54,40,4.6,1
1962,2,21,52,57,41,0.0,0
1962,2,22,53,56,43,0.0,0
1962,2,23,54,50,40,0.0,0
1962,2,24,55,50,40,4.2,1
1962,2,25,56,49,39,0.0,0
1962,2,26,57,44,30,0.0,0
1962,2,27,58,47,25,0.0,0
1962,2,28,59,50,36,5.2,1
1962,3,1,60,54,40,15.1,1
1962,3,2,61,53,42,7.4,1
1962,3,3,62,52,43,1.0,1
1962,3,4,63,61,38,0.0,0
1962,3,5,64,55,45,24.5,1
1962,3,6,65,52,43,16.4,1
1962,3,7,66,56,38,0.0,0
1962,3,8,67,59,42,0.0,0
1962,3,9,68,52,39,0.3,1
1962,3,10,69,52,37,0.0,0
1962,3,11,70,56,44,0.1,1
1962,3,12,71,58,42,0.0,0
1962,3,13,72,62,42,0.0,0
1962,3,14,73,55,42,1.8,1
1962,3,15,74,54,41,3.9,1
1962,3,16,75,57,44,2.4,1
1962,3,17,76,59,44,0.4,1
1962,3,18,77,67,47,0.0,0
1962,3,19,78,58,45,0.0,0
1962,3,20,79,54,42,3.7,1
1962,3,21,80,56,42,0.0,0
1962,3,22,81,52,43,13.5,1
1962,3,23,82,56,43,0.0,0
1962,3,24,83,61,43,0.0,0
1962,3,25,84,63,44,0.0,0
1962,3,26,85,67,46,0.0,0
1962,3,27,86,68,49,0.0,0
1962,3,28,87,62,47,0.0,0
1962,3,29,88,56,44,0.0,0
1962,3,30,89,60,42,0.0,0
1962,3,31,90,65,46,0.0,0
1962,4,1,91,60,45,0.0,0
1962,4,2,92,60,41,0.0,0
