year,month,day,day_of_year,tmax,tmin,precip,rained
1996,1,1,1,62,44,0.0,0
1996,1,2,2,65,43,0.0,0
1996,1,3,3,61,46,0.0,0
1996,1,4,4,53,46,0.0,0
1996,1,5,5,58,43,0.0,0
1996,1,6,6,64,43,0.0,0
1996,1,7,7,67,48,0.0,0
1996,1,8,8,64,50,0.0,0
1996,1,9,9,58,49,0.0,0
1996,1,10,10,61,45,0.0,0
1996,1,11,11,68,40,0.0,0
1996,1,12,12,70,43,0.0,0
1996,1,13,13,65,51,0.0,0
1996,1,14,14,58,46,0.0,0
1996,1,15,15,57,45,2.0,1
1996,1,16,16,60,48,30.0,1
1996,1,17,17,55,40,0.0,0
1996,1,18,18,55,46,16.2,1
1996,1,19,19,56,47,3.9,1
1996,1,20,20,57,45,2.7,1
1996,1,21,21,53,42,16.6,1
1996,1,22,22,51,39,1.8,1
1996,1,23,23,51,41,4.4,1
1996,1,24,24,55,45,14.8,1
1996,1,25,25,53,40,6.6,1
1996,1,26,26,49,42,0.0,0
1996,1,27,27,57,48,23.2,1
1996,1,28,28,53,42,0.0,0
1996,1,29,29,56,44,0.0,0
1996,1,30,30,57,47,10.6,1
1996,1,31,31,57,51,13.3,1
1996,2,1,32,61,50,0.0,0
1996,2,2,33,59,47,0.0,0
1996,2,3,34,60,50,14.5,1
1996,2,4,35,60,54,44.4,1
1996,2,5,36,65,54,6.7,1
1996,2,6,37,66,51,0.0,0
1996,2,7,38,67,50,0.0,0
1996,2,8,39,73,50,0.0,0
1996,2,9,40,65,50,0.0,0
1996,2,10,41,66,50,0.0,0
1996,2,11,42,74,48,0.0,0
1996,2,12,43,75,48,0.0,0
1996,2,13,44,74,58,0.0,0
1996,2,14,45,70,56,0.0,0
1996,2,15,46,66,56,11.0,1
1996,2,16,47,66,52,0.3,1
1996,2,17,48,63,54,2.9,1
1996,2,18,49,63,52,5.1,1
1996,2,19,50,58,54,49.5,1
1996,2,20,51,60,52,30.6,1
1996,2,21,52,54,42,28.7,1
1996,2,22,53,53,42,3.9,1
1996,2,23,54,55,43,0.1,1
1996,2,24,55,51,40,8.9,1
1996,2,25,56,50,39,0.5,1
1996,2,26,57,52,40,0.0,0
1996,2,27,58,51,39,9.8,1
1996,2,28,59,53,39,12.7,1
1996,2,29,60,59,44,13.5,1
1996,3,1,61,66,46,0.0,0
1996,3,2,62,67,47,0.0,0
1996,3,3,63,60,52,6.2,1
1996,3,4,64,57,51,31.9,1
1996,3,5,65,55,45,5.2,1
1996,3,6,66,62,41,0.4,1
1996,3,7,67,70,45,0.0,0
1996,3,8,68,73,46,0.0,0
1996,3,9,69,70,53,0.2,1
1996,3,10,70,63,50,1.7,1
1996,3,11,71,62,49,10.9,1
1996,3,12,72,57,51,34.3,1
1996,3,13,73,64,47,0.0,0
1996,3,14,74,69,49,0.0,0
1996,3,15,75,69,50,0.0,0
1996,3,16,76,70,47,0.0,0
1996,3,17,77,75,48,0.0,0
1996,3,18,78,77,52,0.0,0
1996,3,19,79,71,54,0.0,0
1996,3,20,80,73,53,0.0,0
1996,3,21,81,67,47,0.0,0
1996,3,22,82,53,45,0.3,1
1996,3,23,83,61,40,0.0,0
1996,3,24,84,61,45,0.0,0
1996,3,25,85,56,42,0.0,0
1996,3,26,86,66,44,0.0,0
1996,3,27,87,65,50,0.1,1
1996,3,28,88,57,46,2.0,1
1996,3,29,89,61,45,0.0,0
1996,3,30,90,65,42,0.0,0
1996,3,31,91,69,51,0.3,1
1996,4,1,92,59,53,23.4,1
1996,4,2,93,62,46,0.0,0
1996,4,3,94,62,44,0.0,0
1996,4,4,95,71,48,0.0,0
1996,4,5,96,75,53,0.0,0
1996,4,6,97,78,57,0.0,0
1996,4,7,98,79,55,0.0,0
1996,4,8,99,63,50,0.0,0
1996,4,9,100,61,49,1.2,1
1996,4,10,101,60,45,0.0,0
1996,4,11,102,62,45,0.0,0
1996,4,12,103,62,48,0.0,0
1996,4,13,104,69,46,0.0,0
1996,4,14,105,75,53,0.0,0
1996,4,15,106,65,51,1.6,1
1996,4,16,107,62,53,7.9,1
1996,4,17,108,62,47,18.8,1
1996,4,18,109,62,45,1.1,1
1996,4,19,110,62,48,0.4,1
1996,4,20,111,59,46,0.0,0
1996,4,21,112,65,46,0.1,1
1996,4,22,113,70,51,0.0,0
1996,4,23,114,72,53,0.0,0
1996,4,24,115,69,52,0.7,1
1996,4,25,116,76,48,0.0,0
1996,4,26,117,82,55,0.0,0
1996,4,27,118,80,54,0.0,0
1996,4,28,119,79,50,0.0,0
1996,4,29,120,87,57,0.0,0
1996,4,30,121,92,68,0.0,0
1996,5,1,122,90,67,0.0,0
1996,5,2,123,85,61,0.0,0
1996,5,3,124,75,54,0.0,0
1996,5,4,125,75,52,0.0,0
1996,5,5,126,73,54,0.0,0
1996,5,6,127,70,51,0.0,0
1996,5,7,128,70,46,0.0,0
1996,5,8,129,70,49,0.0,0
1996,5,9,130,72,46,0.0,0
1996,5,10,131,80,50,0.0,0
1996,5,11,132,89,59,0.0,0
1996,5,12,133,89,63,0.0,0
1996,5,13,134,82,58,0.0,0
1996,5,14,135,71,59,0.0,0
1996,5,15,136,67,60,18.8,1
1996,5,16,137,67,58,29.3,1
1996,5,17,138,65,58,2.4,1
1996,5,18,139,67,55,2.4,1
1996,5,19,140,70,51,0.0,0
1996,5,20,141,70,50,0.0,0
1996,5,21,142,61,49,3.5,1
1996,5,22,143,67,49,0.0,0
1996,5,23,144,70,51,0.0,0
1996,5,24,145,78,53,0.0,0
1996,5,25,146,84,58,0.0,0
1996,5,26,147,66,52,0.0,0
1996,5,27,148,69,49,0.3,1
1996,5,28,149,66,48,0.0,0
1996,5,29,150,64,48,0.0,0
1996,5,30,151,69,47,0.0,0
