year,month,day,day_of_year,tmax,tmin,precip,rained
2017,1,1,1,52,39,,
2017,1,2,2,53,41,,
2017,1,3,3,55,46,,
2017,1,4,4,57,49,,
2017,1,5,5,51,40,,
2017,1,6,6,51,35,,
2017,1,7,7,60,47,,
2017,1,8,8,62,57,,
2017,1,9,9,59,50,,
2017,1,10,10,58,53,,
2017,1,11,11,55,47,,
2017,1,12,12,51,43,,
2017,1,13,13,54,36,,
2017,1,14,14,57,38,,
2017,1,15,15,54,40,,
2017,1,16,16,52,36,,
2017,1,17,17,58,38,,
2017,1,18,18,55,44,,
2017,1,19,19,55,43,,
2017,1,20,20,53,47,,
2017,1,21,21,57,45,,
2017,1,22,22,58,46,,
2017,1,23,23,52,42,,
2017,1,24,24,55,39,,
2017,1,25,25,54,34,,
2017,1,26,26,56,36,,
2017,1,27,27,55,37,,
2017,1,28,28,57,36,,
2017,1,29,29,57,36,,
2017,1,30,30,58,40,,
2017,1,31,31,64,44,,
2017,2,1,32,63,43,,
2017,2,2,33,64,51,,
2017,2,3,34,61,55,,
2017,2,4,35,63,46,,
2017,2,5,36,60,45,,
2017,2,6,37,62,54,,
2017,2,7,38,65,57,,
2017,2,8,39,65,60,,
2017,2,9,40,63,58,,
2017,2,10,41,60,50,,
2017,2,11,42,59,42,,
2017,2,12,43,62,45,,
2017,2,13,44,59,41,,
2017,2,14,45,63,43,,
2017,2,15,46,70,48,,
2017,2,16,47,65,55,,
2017,2,17,48,58,54,,
2017,2,18,49,55,49,,
2017,2,19,50,56,47,,
2017,2,20,51,60,55,,
2017,2,21,52,58,50,,
2017,2,22,53,55,42,,
2017,2,23,54,52,40,,
2017,2,24,55,54,33,,
2017,2,25,56,56,37,,
2017,2,26,57,55,37,,
2017,2,27,58,53,42,,
2017,2,28,59,56,36,,
2017,3,1,60,61,36,,
2017,3,2,61,64,36,,
2017,3,3,62,62,42,,
2017,3,4,63,62,46,,
2017,3,5,64,52,39,,
2017,3,6,65,55,36,,
2017,3,7,66,60,38,,
2017,3,8,67,64,43,,
2017,3,9,68,68,47,,
2017,3,10,69,69,49,,
2017,3,11,70,68,49,,
2017,3,12,71,72,47,,
2017,3,13,72,73,50,,
2017,3,14,73,76,55,,
2017,3,15,74,73,50,,
2017,3,16,75,66,50,,
2017,3,17,76,74,48,,
2017,3,18,77,69,53,,
2017,3,19,78,68,51,,
2017,3,20,79,66,51,,
2017,3,21,80,65,55,,
2017,3,22,81,58,49,,
2017,3,23,82,60,47,,
2017,3,24,83,58,50,,
2017,3,25,84,62,49,,
2017,3,26,85,63,47,,
2017,3,27,86,61,49,,
2017,3,28,87,69,46,,
2017,3,29,88,70,48,,
2017,3,30,89,63,51,,
2017,3,31,90,70,49,,
2017,4,1,91,77,51,,
2017,4,2,92,73,48,,
2017,4,3,93,69,48,,
2017,4,4,94,71,48,,
2017,4,5,95,74,51,,
2017,4,6,96,68,52,,
2017,4,7,97,64,53,,
2017,4,8,98,57,46,,
2017,4,9,99,60,38,,
2017,4,10,100,65,42,,
2017,4,11,101,66,52,,
2017,4,12,102,65,57,,
2017,4,13,103,59,49,,
2017,4,14,104,61,43,,
2017,4,15,105,68,42,,
2017,4,16,106,61,51,,
2017,4,17,107,67,57,,
2017,4,18,108,65,54,,
2017,4,19,109,69,47,,
2017,4,20,110,66,52,,
2017,4,21,111,74,49,,
2017,4,22,112,65,52,,
2017,4,23,113,65,50,,
2017,4,24,114,63,52,,
2017,4,25,115,66,52,,
2017,4,26,116,65,54,,
2017,4,27,117,68,53,,
2017,4,28,118,72,48,,
2017,4,29,119,78,49,,
2017,4,30,120,79,54,,
2017,5,1,121,87,54,,
2017,5,2,122,90,60,,
2017,5,3,123,92,61,,
2017,5,4,124,84,56,,
2017,5,5,125,71,54,,
2017,5,6,126,66,51,,
2017,5,7,127,76,52,,
2017,5,8,128,79,53,,
2017,5,9,129,82,53,,
2017,5,10,130,75,53,,
2017,5,11,131,74,55,,
2017,5,12,132,66,53,,
2017,5,13,133,67,48,,
2017,5,14,134,67,52,,
2017,5,15,135,70,50,,
2017,5,16,136,63,51,,
2017,5,17,137,71,52,,
2017,5,18,138,81,50,,
2017,5,19,139,88,58,,
2017,5,20,140,89,59,,
2017,5,21,141,89,59,,
2017,5,22,142,84,53,,
2017,5,23,143,79,53,,
2017,5,24,144,80,52,,
2017,5,25,145,71,56,,
2017,5,26,146,72,56,,
2017,5,27,147,73,53,,
2017,5,28,148,72,52,,
2017,5,29,149,72,53,,
2017,5,30,150,70,52,,
2017,5,31,151,76,56,,
2017,6,1,152,76,58,,
2017,6,2,153,82,54,,
2017,6,3,154,78,56,,
2017,6,4,155,76,55,,
2017,6,5,156,82,50,,
2017,6,6,157,79,54,,
2017,6,7,158,75,54,,
2017,6,8,159,77,60,,
2017,6,9,160,69,56,,
2017,6,10,161,70,54,,
2017,6,11,162,67,54,,
2017,6,12,163,72,53,,
2017,6,13,164,77,52,,
2017,6,14,165,83,54,,
2017,6,15,166,83,55,,
2017,6,16,167,85,59,,
2017,6,17,168,91,60,,
2017,6,18,169,102,69,,
2017,6,19,170,91,67,,
2017,6,20,171,89,65,,
2017,6,21,172,88,59,,
2017,6,22,173,99,68,,
2017,6,23,174,83,62,,
2017,6,24,175,78,56,,
2017,6,25,176,75,58,,
2017,6,26,177,75,56,,
2017,6,27,178,76,57,,
2017,6,28,179,76,56,,
2017,6,29,180,78,57,,
2017,6,30,181,79,54,,
2017,7,1,182,77,56,,
2017,7,2,183,86,56,,
2017,7,3,184,88,58,,
2017,7,4,185,79,55,,
2017,7,5,186,75,54,,
2017,7,6,187,85,54,,
2017,7,7,188,93,61,,
2017,7,8,189,97,66,,
2017,7,9,190,87,59,,
2017,7,10,191,86,61,,
2017,7,11,192,85,61,,
2017,7,12,193,83,60,,
2017,7,13,194,83,58,,
2017,7,14,195,83,57,,
2017,7,15,196,92,57,,
2017,7,16,197,98,64,,
2017,7,17,198,87,64,,
2017,7,18,199,77,57,,
2017,7,19,200,85,58,,
2017,7,20,201,80,60,,
2017,7,21,202,82,58,,
2017,7,22,203,91,57,,
2017,7,23,204,87,61,,
2017,7,24,205,84,61,,
2017,7,25,206,84,60,,
2017,7,26,207,82,58,,
2017,7,27,208,87,56,,
2017,7,28,209,82,60,,
2017,7,29,210,81,60,,
2017,7,30,211,83,57,,
2017,7,31,212,80,56,,
2017,8,1,213,84,56,,
2017,8,2,214,92,61,,
2017,8,3,215,86,68,,
2017,8,4,216,83,68,,
2017,8,5,217,79,63,,
2017,8,6,218,79,61,,
2017,8,7,219,78,59,,
2017,8,8,220,79,57,,
2017,8,9,221,79,58,,
2017,8,10,222,79,59,,
2017,8,11,223,80,56,,
2017,8,12,224,78,58,,
2017,8,13,225,83,60,,
2017,8,14,226,78,60,,
2017,8,15,227,81,59,,
