year,month,day,day_of_year,tmax,tmin,precip,rained
1956,1,1,1,53,42,0.5,1
1956,1,2,2,56,39,0.0,0
1956,1,3,3,57,42,0.0,0
1956,1,4,4,54,44,2.5,1
1956,1,5,5,56,49,8.9,1
1956,1,6,6,58,40,0.0,0
1956,1,7,7,54,45,15.8,1
1956,1,8,8,53,40,0.0,0
1956,1,9,9,58,44,1.4,1
1956,1,10,10,55,47,3.1,1
1956,1,11,11,62,41,0.0,0
1956,1,12,12,58,43,0.0,0
1956,1,13,13,60,49,0.0,0
1956,1,14,14,59,50,3.5,1
1956,1,15,15,56,48,5.0,1
1956,1,16,16,54,41,0.0,0
1956,1,17,17,53,40,0.0,0
1956,1,18,18,59,47,0.0,0
1956,1,19,19,54,47,0.7,1
1956,1,20,20,57,50,10.3,1
1956,1,21,21,55,47,0.5,1
1956,1,22,22,55,48,3.4,1
1956,1,23,23,54,49,3.6,1
1956,1,24,24,55,44,1.0,1
1956,1,25,25,52,43,21.6,1
1956,1,26,26,54,44,12.4,1
1956,1,27,27,51,38,10.8,1
1956,1,28,28,54,39,0.4,1
1956,1,29,29,56,39,0.0,0
1956,1,30,30,54,34,0.0,0
1956,1,31,31,52,36,0.0,0
1956,2,1,32,51,30,0.0,0
1956,2,2,33,55,30,0.0,0
1956,2,3,34,57,38,0.0,0
1956,2,4,35,58,38,0.0,0
1956,2,5,36,56,41,1.5,1
1956,2,6,37,59,36,0.0,0
1956,2,7,38,61,43,0.0,0
1956,2,8,39,57,36,0.0,0
1956,2,9,40,61,43,0.0,0
1956,2,10,41,61,40,0.0,0
1956,2,11,42,62,42,0.0,0
1956,2,12,43,62,44,0.0,0
1956,2,13,44,57,44,0.0,0
1956,2,14,45,58,44,0.0,0
1956,2,15,46,55,38,0.0,0
1956,2,16,47,46,30,0.0,0
1956,2,17,48,50,38,1.9,1
1956,2,18,49,52,36,0.0,0
1956,2,19,50,50,37,12.5,1
1956,2,20,51,56,46,9.1,1
1956,2,21,52,56,46,10.6,1
1956,2,22,53,57,45,12.4,1
1956,2,23,54,51,38,5.5,1
1956,2,24,55,52,36,0.5,1
1956,2,25,56,50,39,6.0,1
1956,2,26,57,52,40,0.3,1
1956,2,27,58,58,41,0.0,0
1956,2,28,59,57,38,0.9,1
1956,2,29,60,58,42,10.4,1
1956,3,1,61,61,43,0.0,0
1956,3,2,62,63,45,0.0,0
1956,3,3,63,57,42,0.0,0
1956,3,4,64,53,41,0.7,1
1956,3,5,65,52,42,3.9,1
1956,3,6,66,51,32,0.0,0
1956,3,7,67,59,34,0.0,0
1956,3,8,68,62,41,0.0,0
1956,3,9,69,58,45,0.0,0
1956,3,10,70,65,45,0.0,0
1956,3,11,71,61,41,0.0,0
1956,3,12,72,60,32,0.0,0
1956,3,13,73,63,44,0.0,0
1956,3,14,74,63,41,0.0,0
1956,3,15,75,68,44,0.0,0
1956,3,16,76,72,43,0.0,0
1956,3,17,77,73,52,0.0,0
1956,3,18,78,64,51,0.3,1
1956,3,19,79,58,47,0.6,1
1956,3,20,80,68,46,0.0,0
1956,3,21,81,71,48,0.0,0
1956,3,22,82,65,47,0.0,0
1956,3,23,83,71,47,0.0,0
1956,3,24,84,70,51,0.0,0
1956,3,25,85,63,47,0.0,0
1956,3,26,86,62,46,0.0,0
1956,3,27,87,67,38,0.0,0
1956,3,28,88,72,44,0.0,0
1956,3,29,89,72,51,0.0,0
1956,3,30,90,59,43,0.0,0
1956,3,31,91,53,45,1.6,1
1956,4,1,92,59,40,0.2,1
1956,4,2,93,63,44,0.0,0
1956,4,3,94,68,48,0.0,0
1956,4,4,95,67,48,0.0,0
1956,4,5,96,71,46,0.0,0
1956,4,6,97,77,53,0.0,0
1956,4,7,98,73,49,0.0,0
1956,4,8,99,75,50,0.0,0
1956,4,9,100,69,48,0.0,0
1956,4,10,101,51,46,14.4,1
1956,4,11,102,52,40,11.0,1
1956,4,12,103,56,39,6.8,1
1956,4,13,104,57,46,0.4,1
1956,4,14,105,60,47,0.0,0
1956,4,15,106,64,47,0.1,1
1956,4,16,107,67,49,0.0,0
1956,4,17,108,72,51,0.0,0
1956,4,18,109,74,51,0.0,0
1956,4,19,110,77,54,0.0,0
1956,4,20,111,80,58,0.0,0
1956,4,21,112,75,53,0.0,0
1956,4,22,113,80,55,0.0,0
1956,4,23,114,67,49,0.0,0
1956,4,24,115,66,48,0.0,0
1956,4,25,116,59,51,10.0,1
1956,4,26,117,59,49,17.2,1
1956,4,27,118,64,51,0.2,1
1956,4,28,119,67,46,0.0,0
1956,4,29,120,71,48,0.0,0
1956,4,30,121,70,52,0.0,0
1956,5,1,122,68,48,0.0,0
1956,5,2,123,71,52,0.0,0
1956,5,3,124,67,53,2.4,1
1956,5,4,125,66,52,3.6,1
1956,5,5,126,64,50,0.5,1
1956,5,6,127,61,53,1.7,1
1956,5,7,128,66,51,1.5,1
1956,5,8,129,69,53,8.1,1
1956,5,9,130,63,52,2.4,1
1956,5,10,131,63,48,0.0,0
1956,5,11,132,61,47,0.7,1
1956,5,12,133,66,44,0.0,0
1956,5,13,134,76,51,0.0,0
1956,5,14,135,80,55,0.0,0
1956,5,15,136,88,59,0.0,0
1956,5,16,137,95,65,0.0,0
1956,5,17,138,83,60,0.0,0
1956,5,18,139,72,52,0.0,0
1956,5,19,140,74,51,0.0,0
1956,5,20,141,78,51,0.0,0
1956,5,21,142,81,54,0.0,0
1956,5,22,143,72,51,0.0,0
1956,5,23,144,70,52,0.0,0
1956,5,24,145,76,51,0.0,0
1956,5,25,146,79,55,0.0,0
1956,5,26,147,69,51,0.0,0
1956,5,27,148,75,49,0.0,0
1956,5,28,149,77,55,0.0,0
1956,5,29,150,67,50,0.0,0
1956,5,30,151,67,48,0.0,0
1956,5,31,152,71,53,0.0,0
1956,6,1,153,78,52,0.0,0
1956,6,2,154,88,61,0.0,0
1956,6,3,155,73,54,0.0,0
1956,6,4,156,78,52,0.0,0
1956,6,5,157,75,53,0.0,0
1956,6,6,158,77,53,0.0,0
1956,6,7,159,85,58,0.0,0
1956,6,8,160,88,61,0.0,0
1956,6,9,161,86,62,0.0,0
1956,6,10,162,82,56,0.0,0
1956,6,11,163,87,60,0.0,0
1956,6,12,164,88,63,0.0,0
1956,6,13,165,79,56,0.0,0
1956,6,14,166,68,54,0.0,0
1956,6,15,167,71,51,0.0,0
1956,6,16,168,82,53,0.0,0
1956,6,17,169,90,61,0.0,0
1956,6,18,170,82,62,0.0,0
1956,6,19,171,74,56,0.0,0
1956,6,20,172,79,58,0.0,0
1956,6,21,173,90,60,0.0,0
1956,6,22,174,89,61,0.0,0
1956,6,23,175,77,55,0.0,0
1956,6,24,176,79,53,0.0,0
1956,6,25,177,93,58,0.0,0
1956,6,26,178,96,63,0.0,0
1956,6,27,179,103,73,0.0,0
1956,6,28,180,105,75,0.0,0
1956,6,29,181,88,63,0.0,0
1956,6,30,182,75,55,0.0,0
1956,7,1,183,67,51,0.0,0
1956,7,2,184,74,52,0.0,0
1956,7,3,185,77,52,0.0,0
1956,7,4,186,78,51,0.0,0
1956,7,5,187,79,56,0.0,0
1956,7,6,188,82,56,0.0,0
1956,7,7,189,86,57,0.0,0
1956,7,8,190,82,58,0.0,0
1956,7,9,191,79,56,0.0,0
1956,7,10,192,85,56,0.0,0
1956,7,11,193,83,58,0.0,0
1956,7,12,194,66,56,0.0,0
1956,7,13,195,75,52,0.0,0
1956,7,14,196,77,55,0.0,0
1956,7,15,197,77,56,0.0,0
1956,7,16,198,81,56,0.0,0
1956,7,17,199,88,58,0.0,0
1956,7,18,200,88,64,0.0,0
1956,7,19,201,87,62,0.0,0
1956,7,20,202,89,62,0.0,0
1956,7,21,203,88,60,0.0,0
1956,7,22,204,100,64,0.0,0
1956,7,23,205,94,65,0.0,0
1956,7,24,206,89,63,0.0,0
1956,7,25,207,86,61,0.0,0
1956,7,26,208,83,60,0.0,0
1956,7,27,209,83,60,0.0,0
1956,7,28,210,80,57,0.0,0
1956,7,29,211,84,56,0.0,0
1956,7,30,212,83,61,0.0,0
1956,7,31,213,83,56,0.0,0
1956,8,1,214,83,56,0.0,0
1956,8,2,215,78,52,0.0,0
1956,8,3,216,74,54,0.0,0
1956,8,4,217,72,55,0.0,0
1956,8,5,218,81,54,0.0,0
1956,8,6,219,92,64,0.0,0
1956,8,7,220,89,65,0.0,0
1956,8,8,221,85,58,0.0,0
1956,8,9,222,92,62,0.0,0
1956,8,10,223,93,63,0.0,0
1956,8,11,224,73,57,0.0,0
1956,8,12,225,74,55,0.0,0
1956,8,13,226,82,56,0.0,0
1956,8,14,227,81,58,0.0,0
1956,8,15,228,78,58,0.0,0
1956,8,16,229,80,59,0.0,0
1956,8,17,230,84,59,0.0,0
1956,8,18,231,81,58,0.0,0
1956,8,19,232,79,57,0.0,0
1956,8,20,233,80,57,0.0,0
1956,8,21,234,80,58,0.0,0
1956,8,22,235,86,59,0.0,0
1956,8,23,236,90,63,0.0,0
1956,8,24,237,89,63,0.0,0
1956,8,25,238,81,57,0.0,0
1956,8,26,239,81,57,0.0,0
1956,8,27,240,86,61,0.0,0
1956,8,28,241,74,55,0.0,0
1956,8,29,242,81,56,0.0,0
1956,8,30,243,78,57,0.0,0
1956,8,31,244,80,57,0.0,0
1956,9,1,245,88,57,0.0,0
1956,9,2,246,90,64,0.0,0
1956,9,3,247,87,62,0.0,0
1956,9,4,248,85,58,0.0,0
1956,9,5,249,87,61,0.0,0
1956,9,6,250,74,57,0.0,0
1956,9,7,251,77,54,0.0,0
1956,9,8,252,86,54,0.0,0
1956,9,9,253,84,63,0.8,1
1956,9,10,254,79,59,0.0,0
1956,9,11,255,72,56,0.0,0
1956,9,12,256,72,52,0.0,0
1956,9,13,257,74,55,0.0,0
1956,9,14,258,78,54,0.0,0
