year,month,day,day_of_year,tmax,tmin,precip,rained
1963,1,1,1,59,35,0.0,0
1963,1,2,2,60,35,0.0,0
1963,1,3,3,57,42,0.0,0
1963,1,4,4,58,41,0.0,0
1963,1,5,5,63,38,0.0,0
1963,1,6,6,63,38,0.0,0
1963,1,7,7,66,37,0.0,0
1963,1,8,8,68,42,0.0,0
1963,1,9,9,60,44,0.0,0
1963,1,10,10,47,39,0.0,0
1963,1,11,11,46,29,0.0,0
1963,1,12,12,44,25,0.0,0
1963,1,13,13,48,34,0.0,0
1963,1,14,14,50,35,0.0,0
1963,1,15,15,54,34,0.0,0
1963,1,16,16,56,41,0.0,0
1963,1,17,17,58,39,0.0,0
1963,1,18,18,50,35,0.0,0
1963,1,19,19,50,28,0.0,0
1963,1,20,20,55,35,0.0,0
1963,1,21,21,55,39,0.0,0
1963,1,22,22,55,41,0.0,0
1963,1,23,23,55,41,0.0,0
1963,1,24,24,56,41,0.0,0
1963,1,25,25,57,41,0.0,0
1963,1,26,26,57,38,0.0,0
1963,1,27,27,53,39,0.0,0
1963,1,28,28,49,40,0.0,0
1963,1,29,29,53,42,5.0,1
1963,1,30,30,57,51,103.7,1
1963,1,31,31,60,54,78.9,1
1963,2,1,32,65,52,8.3,1
1963,2,2,33,68,50,0.2,1
1963,2,3,34,75,51,0.0,0
1963,2,4,35,67,55,0.1,1
1963,2,5,36,72,52,0.0,0
1963,2,6,37,73,55,0.0,0
1963,2,7,38,71,48,0.0,0
1963,2,8,39,63,50,7.1,1
1963,2,9,40,59,52,27.3,1
1963,2,10,41,62,52,4.9,1
1963,2,11,42,62,51,0.5,1
1963,2,12,43,61,47,8.5,1
1963,2,13,44,60,50,3.7,1
1963,2,14,45,61,48,0.0,0
1963,2,15,46,61,47,0.0,0
1963,2,16,47,57,48,5.2,1
1963,2,17,48,60,46,0.0,0
1963,2,18,49,64,47,0.0,0
1963,2,19,50,63,49,0.0,0
1963,2,20,51,62,48,0.0,0
1963,2,21,52,60,44,0.0,0
1963,2,22,53,65,44,0.0,0
1963,2,23,54,69,41,0.0,0
1963,2,24,55,69,52,0.0,0
1963,2,25,56,71,53,0.0,0
1963,2,26,57,68,52,0.0,0
1963,2,27,58,66,44,0.0,0
