year,month,day,day_of_year,tmax,tmin,precip,rained
1959,1,1,1,62,45,0.0,0
1959,1,2,2,51,39,0.0,0
1959,1,3,3,52,40,0.0,0
1959,1,4,4,53,39,0.0,0
1959,1,5,5,54,48,59.1,1
1959,1,6,6,59,46,9.2,1
1959,1,7,7,58,45,2.2,1
1959,1,8,8,63,51,8.5,1
1959,1,9,9,62,54,16.6,1
1959,1,10,10,63,56,3.5,1
1959,1,11,11,67,55,0.2,1
1959,1,12,12,58,51,13.9,1
1959,1,13,13,62,47,0.0,0
1959,1,14,14,64,44,0.0,0
1959,1,15,15,66,42,0.0,0
1959,1,16,16,67,41,0.0,0
1959,1,17,17,65,42,0.0,0
1959,1,18,18,63,45,0.0,0
1959,1,19,19,57,41,0.0,0
1959,1,20,20,54,36,0.0,0
1959,1,21,21,56,40,0.0,0
1959,1,22,22,62,45,0.0,0
1959,1,23,23,68,46,0.0,0
1959,1,24,24,56,45,1.0,1
1959,1,25,25,59,50,14.0,1
1959,1,26,26,60,45,0.0,0
1959,1,27,27,60,49,1.9,1
1959,1,28,28,58,44,1.5,1
1959,1,29,29,59,44,0.0,0
1959,1,30,30,56,44,0.0,0
1959,1,31,31,59,43,0.0,0
1959,2,1,32,59,39,0.0,0
1959,2,2,33,59,40,0.0,0
1959,2,3,34,62,44,0.0,0
1959,2,4,35,65,44,0.0,0
1959,2,5,36,65,41,0.0,0
1959,2,6,37,61,48,0.0,0
1959,2,7,38,50,44,3.2,1
1959,2,8,39,52,41,0.0,0
1959,2,9,40,52,42,11.6,1
1959,2,10,41,52,43,40.4,1
1959,2,11,42,50,38,14.3,1
1959,2,12,43,52,40,0.2,1
1959,2,13,44,56,42,0.1,1
1959,2,14,45,55,41,0.0,0
1959,2,15,46,55,48,27.0,1
1959,2,16,47,58,48,55.2,1
1959,2,17,48,58,44,26.8,1
1959,2,18,49,57,49,22.4,1
1959,2,19,50,58,44,1.3,1
1959,2,20,51,53,44,13.2,1
1959,2,21,52,50,44,4.4,1
1959,2,22,53,56,42,2.7,1
1959,2,23,54,60,46,0.0,0
1959,2,24,55,61,46,0.0,0
1959,2,25,56,65,42,0.0,0
1959,2,26,57,67,44,0.0,0
1959,2,27,58,68,48,0.0,0
1959,2,28,59,72,47,0.0,0
1959,3,1,60,74,51,0.0,0
1959,3,2,61,72,56,0.0,0
1959,3,3,62,73,50,0.0,0
1959,3,4,63,69,42,0.0,0
1959,3,5,64,73,45,0.0,0
1959,3,6,65,66,49,0.0,0
1959,3,7,66,71,51,0.0,0
1959,3,8,67,73,54,0.0,0
1959,3,9,68,71,49,0.0,0
1959,3,10,69,70,45,0.0,0
1959,3,11,70,74,45,0.0,0
1959,3,12,71,76,51,0.0,0
1959,3,13,72,60,44,0.0,0
1959,3,14,73,64,40,0.0,0
1959,3,15,74,73,45,0.0,0
1959,3,16,75,77,50,0.0,0
1959,3,17,76,70,51,0.0,0
1959,3,18,77,64,46,0.0,0
1959,3,19,78,69,43,0.0,0
1959,3,20,79,74,51,0.0,0
1959,3,21,80,61,47,0.6,1
1959,3,22,81,57,47,3.1,1
1959,3,23,82,58,45,8.4,1
1959,3,24,83,61,42,0.0,0
1959,3,25,84,64,46,0.3,1
1959,3,26,85,60,47,1.3,1
1959,3,27,86,61,42,0.0,0
1959,3,28,87,60,44,0.4,1
1959,3,29,88,59,42,0.0,0
1959,3,30,89,58,47,8.0,1
1959,3,31,90,70,43,0.0,0
1959,4,1,91,82,52,0.0,0
1959,4,2,92,83,64,0.0,0
1959,4,3,93,77,55,0.0,0
1959,4,4,94,65,51,0.0,0
1959,4,5,95,63,50,0.0,0
1959,4,6,96,72,49,0.0,0
1959,4,7,97,73,48,0.0,0
1959,4,8,98,74,51,0.0,0
1959,4,9,99,73,53,0.0,0
1959,4,10,100,71,49,0.0,0
1959,4,11,101,74,50,0.0,0
1959,4,12,102,78,55,0.0,0
1959,4,13,103,71,49,0.0,0
1959,4,14,104,63,47,0.0,0
1959,4,15,105,67,44,0.0,0
1959,4,16,106,71,50,0.0,0
1959,4,17,107,65,47,0.0,0
1959,4,18,108,67,49,0.0,0
1959,4,19,109,68,48,0.0,0
1959,4,20,110,70,47,0.0,0
1959,4,21,111,66,49,0.0,0
1959,4,22,112,73,50,0.0,0
1959,4,23,113,84,54,0.0,0
1959,4,24,114,66,51,0.0,0
1959,4,25,115,64,52,18.4,1
1959,4,26,116,64,50,0.7,1
1959,4,27,117,69,49,0.0,0
1959,4,28,118,74,50,0.0,0
1959,4,29,119,82,54,0.0,0
1959,4,30,120,69,51,0.0,0
1959,5,1,121,58,49,1.9,1
1959,5,2,122,62,44,0.2,1
1959,5,3,123,61,43,0.0,0
1959,5,4,124,64,42,0.0,0
1959,5,5,125,66,45,0.0,0
1959,5,6,126,78,51,0.0,0
1959,5,7,127,85,57,0.0,0
1959,5,8,128,74,52,0.0,0
1959,5,9,129,69,48,0.0,0
1959,5,10,130,80,52,0.0,0
1959,5,11,131,84,60,0.0,0
1959,5,12,132,71,53,0.0,0
1959,5,13,133,67,54,0.1,1
1959,5,14,134,66,52,0.3,1
1959,5,15,135,71,46,0.0,0
1959,5,16,136,75,51,0.0,0
1959,5,17,137,66,51,0.8,1
1959,5,18,138,69,48,0.0,0
1959,5,19,139,70,46,0.0,0
1959,5,20,140,78,50,0.0,0
1959,5,21,141,80,55,0.0,0
1959,5,22,142,63,51,1.0,1
1959,5,23,143,69,50,0.0,0
1959,5,24,144,70,52,0.0,0
1959,5,25,145,64,50,0.0,0
1959,5,26,146,63,51,0.0,0
1959,5,27,147,66,47,0.0,0
1959,5,28,148,68,45,0.0,0
1959,5,29,149,70,48,0.0,0
1959,5,30,150,78,54,0.0,0
1959,5,31,151,76,56,0.0,0
1959,6,1,152,72,52,0.0,0
1959,6,2,153,70,50,0.0,0
1959,6,3,154,74,49,0.0,0
1959,6,4,155,79,56,0.0,0
1959,6,5,156,79,57,0.0,0
1959,6,6,157,71,54,0.0,0
1959,6,7,158,71,48,0.0,0
1959,6,8,159,72,51,0.0,0
1959,6,9,160,71,49,0.0,0
1959,6,10,161,82,53,0.0,0
1959,6,11,162,85,58,0.0,0
1959,6,12,163,80,55,0.0,0
1959,6,13,164,77,54,0.0,0
1959,6,14,165,75,49,0.0,0
1959,6,15,166,73,50,0.0,0
1959,6,16,167,73,50,0.0,0
1959,6,17,168,85,54,0.0,0
1959,6,18,169,88,58,0.0,0
1959,6,19,170,90,62,0.0,0
1959,6,20,171,91,63,0.0,0
1959,6,21,172,93,68,0.0,0
1959,6,22,173,93,62,0.0,0
1959,6,23,174,92,66,0.0,0
1959,6,24,175,76,57,0.0,0
1959,6,25,176,73,53,0.0,0
1959,6,26,177,70,55,0.7,1
1959,6,27,178,76,51,0.0,0
1959,6,28,179,78,51,0.0,0
1959,6,29,180,88,58,0.0,0
1959,6,30,181,87,66,0.0,0
1959,7,1,182,85,63,0.0,0
1959,7,2,183,82,60,0.0,0
1959,7,3,184,85,56,0.0,0
1959,7,4,185,84,60,0.0,0
1959,7,5,186,80,54,0.0,0
1959,7,6,187,78,58,0.0,0
1959,7,7,188,86,58,0.0,0
1959,7,8,189,89,61,0.0,0
1959,7,9,190,100,65,0.0,0
1959,7,10,191,103,76,0.0,0
1959,7,11,192,98,72,0.0,0
1959,7,12,193,85,62,0.0,0
1959,7,13,194,78,60,0.0,0
1959,7,14,195,78,58,0.0,0
1959,7,15,196,83,59,0.0,0
1959,7,16,197,86,61,0.0,0
1959,7,17,198,83,61,0.0,0
1959,7,18,199,81,60,0.0,0
1959,7,19,200,84,59,0.0,0
1959,7,20,201,84,60,0.0,0
1959,7,21,202,78,58,0.0,0
1959,7,22,203,83,59,0.0,0
1959,7,23,204,87,61,0.0,0
1959,7,24,205,96,64,0.0,0
1959,7,25,206,100,71,0.0,0
1959,7,26,207,91,68,0.0,0
1959,7,27,208,87,61,0.0,0
1959,7,28,209,81,57,0.0,0
1959,7,29,210,82,56,0.0,0
1959,7,30,211,85,60,0.0,0
1959,7,31,212,86,60,0.0,0
1959,8,1,213,86,61,0.0,0
1959,8,2,214,81,59,0.0,0
1959,8,3,215,82,54,0.0,0
1959,8,4,216,76,55,0.0,0
1959,8,5,217,80,56,0.0,0
1959,8,6,218,90,59,0.0,0
1959,8,7,219,90,67,0.0,0
1959,8,8,220,91,66,0.0,0
1959,8,9,221,84,63,0.0,0
1959,8,10,222,85,60,0.0,0
1959,8,11,223,95,67,0.0,0
1959,8,12,224,97,73,0.0,0
1959,8,13,225,87,64,0.0,0
1959,8,14,226,77,58,0.0,0
1959,8,15,227,78,57,0.0,0
1959,8,16,228,80,58,0.0,0
1959,8,17,229,75,58,0.0,0
1959,8,18,230,69,56,0.0,0
1959,8,19,231,64,56,3.0,1
1959,8,20,232,70,54,0.2,1
1959,8,21,233,79,54,0.0,0
1959,8,22,234,90,63,0.0,0
1959,8,23,235,91,66,0.0,0
1959,8,24,236,89,69,0.0,0
1959,8,25,237,82,63,0.0,0
1959,8,26,238,77,59,0.0,0
1959,8,27,239,75,58,0.0,0
1959,8,28,240,73,56,0.0,0
1959,8,29,241,75,56,0.0,0
1959,8,30,242,84,57,0.0,0
1959,8,31,243,90,62,0.0,0
1959,9,1,244,88,64,0.0,0
1959,9,2,245,78,58,0.0,0
1959,9,3,246,74,56,0.0,0
1959,9,4,247,77,55,0.0,0
1959,9,5,248,79,57,0.0,0
1959,9,6,249,79,58,0.0,0
1959,9,7,250,79,59,0.0,0
1959,9,8,251,80,57,0.0,0
1959,9,9,252,82,59,0.0,0
1959,9,10,253,76,58,0.0,0
1959,9,11,254,84,56,0.0,0
1959,9,12,255,83,60,0.0,0
1959,9,13,256,72,56,0.0,0
1959,9,14,257,69,58,0.2,1
1959,9,15,258,71,56,0.0,0
1959,9,16,259,68,54,0.1,1
1959,9,17,260,71,52,0.2,1
1959,9,18,261,66,61,25.3,1
1959,9,19,262,71,59,2.2,1
1959,9,20,263,66,56,0.0,0
1959,9,21,264,74,56,0.0,0
1959,9,22,265,77,57,0.0,0
1959,9,23,266,80,62,0.0,0
1959,9,24,267,81,62,0.0,0
1959,9,25,268,76,61,0.0,0
1959,9,26,269,82,59,0.0,0
1959,9,27,270,79,56,0.0,0
1959,9,28,271,78,60,0.0,0
1959,9,29,272,76,54,0.0,0
1959,9,30,273,76,57,0.0,0
1959,10,1,274,75,51,0.0,0
1959,10,2,275,79,59,0.0,0
1959,10,3,276,79,62,0.0,0
1959,10,4,277,78,60,0.0,0
1959,10,5,278,70,55,0.0,0
1959,10,6,279,65,52,0.0,0
1959,10,7,280,75,52,0.0,0
1959,10,8,281,73,53,0.0,0
1959,10,9,282,71,59,0.2,1
1959,10,10,283,82,59,0.0,0
1959,10,11,284,86,65,0.0,0
1959,10,12,285,86,60,0.0,0
1959,10,13,286,88,54,0.0,0
1959,10,14,287,90,67,0.0,0
1959,10,15,288,90,68,0.0,0
1959,10,16,289,91,67,0.0,0
1959,10,17,290,86,62,0.0,0
1959,10,18,291,66,52,0.0,0
1959,10,19,292,67,48,0.0,0
1959,10,20,293,74,50,0.0,0
1959,10,21,294,74,55,0.0,0
1959,10,22,295,82,57,0.0,0
1959,10,23,296,91,61,0.0,0
1959,10,24,297,89,69,0.0,0
1959,10,25,298,78,59,0.0,0
1959,10,26,299,65,54,0.0,0
1959,10,27,300,66,52,0.0,0
1959,10,28,301,76,51,0.0,0
1959,10,29,302,67,49,0.0,0
1959,10,30,303,72,54,0.0,0
1959,10,31,304,75,50,0.0,0
1959,11,1,305,73,56,0.0,0
1959,11,2,306,65,51,0.0,0
1959,11,3,307,61,48,0.0,0
1959,11,4,308,68,51,0.0,0
1959,11,5,309,73,44,0.0,0
1959,11,6,310,79,50,0.0,0
1959,11,7,311,80,51,0.0,0
1959,11,8,312,81,50,0.0,0
1959,11,9,313,80,56,0.0,0
1959,11,10,314,80,59,0.0,0
1959,11,11,315,78,57,0.0,0
