year,month,day,day_of_year,tmax,tmin,precip,rained
1995,1,1,1,58,45,6.0,1
1995,1,2,2,60,43,6.9,1
1995,1,3,3,56,46,20.3,1
1995,1,4,4,50,46,20.4,1
1995,1,5,5,54,46,4.9,1
1995,1,6,6,56,45,2.4,1
1995,1,7,7,57,51,32.9,1
1995,1,8,8,59,53,11.9,1
1995,1,9,9,61,57,55.9,1
1995,1,10,10,59,48,29.3,1
1995,1,11,11,59,45,19.8,1
1995,1,12,12,57,52,12.2,1
1995,1,13,13,61,55,4.7,1
1995,1,14,14,58,48,28.5,1
1995,1,15,15,52,44,7.6,1
1995,1,16,16,52,43,1.8,1
1995,1,17,17,53,39,0.0,0
1995,1,18,18,56,43,0.0,0
1995,1,19,19,60,40,0.0,0
1995,1,20,20,52,43,15.0,1
1995,1,21,21,54,42,2.9,1
1995,1,22,22,55,47,31.7,1
1995,1,23,23,58,49,17.8,1
1995,1,24,24,60,49,10.9,1
1995,1,25,25,58,49,2.6,1
1995,1,26,26,55,46,10.8,1
1995,1,27,27,56,51,20.0,1
1995,1,28,28,63,51,0.0,0
1995,1,29,29,64,51,0.0,0
1995,1,30,30,63,52,0.2,1
1995,1,31,31,70,52,0.0,0
1995,2,1,32,71,51,0.0,0
1995,2,2,33,75,47,0.0,0
1995,2,3,34,77,48,0.0,0
1995,2,4,35,71,55,0.0,0
1995,2,5,36,66,48,0.0,0
1995,2,6,37,59,48,0.0,0
1995,2,7,38,59,49,0.1,1
1995,2,8,39,58,47,7.6,1
1995,2,9,40,62,46,0.0,0
1995,2,10,41,63,49,0.0,0
1995,2,11,42,56,43,0.0,0
1995,2,12,43,53,44,0.0,0
1995,2,13,44,55,46,5.6,1
1995,2,14,45,55,38,0.3,1
1995,2,15,46,57,40,0.0,0
1995,2,16,47,57,44,0.0,0
1995,2,17,48,64,45,0.0,0
1995,2,18,49,68,47,0.0,0
1995,2,19,50,72,44,0.0,0
1995,2,20,51,77,45,0.0,0
1995,2,21,52,76,53,0.0,0
1995,2,22,53,66,51,0.0,0
1995,2,23,54,65,47,0.0,0
1995,2,24,55,64,49,0.0,0
