year,month,day,day_of_year,tmax,tmin,precip,rained
2022,1,1,1,52,37,,
2022,1,2,2,58,33,,
2022,1,3,3,57,42,,
2022,1,4,4,60,49,,
2022,1,5,5,59,48,,
2022,1,6,6,57,49,,
2022,1,7,7,58,48,,
2022,1,8,8,55,43,,
2022,1,9,9,62,38,,
2022,1,10,10,61,46,,
2022,1,11,11,60,43,,
2022,1,12,12,64,43,,
2022,1,13,13,60,46,,
2022,1,14,14,62,44,,
2022,1,15,15,62,44,,
2022,1,16,16,60,50,,
2022,1,17,17,60,50,,
2022,1,18,18,56,43,,
2022,1,19,19,60,42,,
2022,1,20,20,60,43,,
2022,1,21,21,65,43,,
2022,1,22,22,63,44,,
2022,1,23,23,61,41,,
2022,1,24,24,60,42,,
2022,1,25,25,59,40,,
2022,1,26,26,63,38,,
2022,1,27,27,62,37,,
2022,1,28,28,64,39,,
2022,1,29,29,62,47,,
2022,1,30,30,58,38,,
2022,1,31,31,57,41,,
2022,2,1,32,60,37,,
2022,2,2,33,61,41,,
2022,2,3,34,63,43,,
2022,2,4,35,64,38,,
2022,2,5,36,61,38,,
2022,2,6,37,64,37,,
2022,2,7,38,63,42,,
2022,2,8,39,69,40,,
2022,2,9,40,71,47,,
2022,2,10,41,73,43,,
2022,2,11,42,74,48,,
2022,2,12,43,77,52,,
2022,2,13,44,76,49,,
2022,2,14,45,59,44,,
2022,2,15,46,61,41,,
2022,2,16,47,67,42,,
2022,2,17,48,66,44,,
2022,2,18,49,67,40,,
2022,2,19,50,71,45,,
2022,2,20,51,61,44,,
2022,2,21,52,57,43,,
2022,2,22,53,52,41,,
2022,2,23,54,54,38,,
2022,2,24,55,58,30,,
2022,2,25,56,61,39,,
2022,2,26,57,62,34,,
2022,2,27,58,69,41,,
2022,2,28,59,72,44,,
2022,3,1,60,70,46,,
2022,3,2,61,69,47,,
2022,3,3,62,56,48,,
2022,3,4,63,58,46,,
2022,3,5,64,55,42,,
2022,3,6,65,62,36,,
2022,3,7,66,68,40,,
2022,3,8,67,72,50,,
2022,3,9,68,66,45,,
2022,3,10,69,69,43,,
2022,3,11,70,72,39,,
2022,3,12,71,70,45,,
