year,month,day,day_of_year,tmax,tmin,precip,rained
2018,1,1,1,58,43,,
2018,1,2,2,62,51,,
2018,1,3,3,66,49,,
2018,1,4,4,69,51,,
2018,1,5,5,64,54,,
2018,1,6,6,59,46,,
2018,1,7,7,57,42,,
2018,1,8,8,61,52,,
2018,1,9,9,61,52,,
2018,1,10,10,58,48,,
2018,1,11,11,61,49,,
2018,1,12,12,61,46,,
2018,1,13,13,60,43,,
2018,1,14,14,67,48,,
2018,1,15,15,66,47,,
2018,1,16,16,60,51,,
2018,1,17,17,61,49,,
2018,1,18,18,68,49,,
2018,1,19,19,54,44,,
2018,1,20,20,55,41,,
2018,1,21,21,56,34,,
2018,1,22,22,58,48,,
2018,1,23,23,58,44,,
2018,1,24,24,62,41,,
2018,1,25,25,54,40,,
2018,1,26,26,55,40,,
2018,1,27,27,59,40,,
2018,1,28,28,62,43,,
2018,1,29,29,60,42,,
2018,1,30,30,64,44,,
2018,1,31,31,65,44,,
2018,2,1,32,71,46,,
2018,2,2,33,71,52,,
2018,2,3,34,72,52,,
2018,2,4,35,73,49,,
2018,2,5,36,73,46,,
2018,2,6,37,74,49,,
2018,2,7,38,71,47,,
2018,2,8,39,71,54,,
2018,2,9,40,74,47,,
2018,2,10,41,67,48,,
2018,2,11,42,61,40,,
2018,2,12,43,59,44,,
2018,2,13,44,63,43,,
2018,2,14,45,60,39,,
2018,2,15,46,64,42,,
2018,2,16,47,65,37,,
2018,2,17,48,66,41,,
2018,2,18,49,55,45,,
2018,2,19,50,51,39,,
2018,2,20,51,54,34,,
2018,2,21,52,56,36,,
2018,2,22,53,55,39,,
2018,2,23,54,55,34,,
2018,2,24,55,57,31,,
2018,2,25,56,60,42,,
2018,2,26,57,52,43,,
2018,2,27,58,55,38,,
2018,2,28,59,57,35,,
2018,3,1,60,57,49,,
2018,3,2,61,53,43,,
2018,3,3,62,51,36,,
2018,3,4,63,55,36,,
2018,3,5,64,61,32,,
2018,3,6,65,71,38,,
2018,3,7,66,68,46,,
2018,3,8,67,66,50,,
2018,3,9,68,63,48,,
2018,3,10,69,59,50,,
2018,3,11,70,69,47,,
2018,3,12,71,71,50,,
2018,3,13,72,64,53,,
2018,3,14,73,56,46,,
2018,3,15,74,56,39,,
2018,3,16,75,53,46,,
2018,3,17,76,53,42,,
2018,3,18,77,57,36,,
2018,3,19,78,68,38,,
2018,3,20,79,58,51,,
2018,3,21,80,65,56,,
2018,3,22,81,59,46,,
2018,3,23,82,59,38,,
2018,3,24,83,56,43,,
2018,3,25,84,55,40,,
2018,3,26,85,62,40,,
2018,3,27,86,71,44,,
2018,3,28,87,75,46,,
2018,3,29,88,79,52,,
2018,3,30,89,79,51,,
2018,3,31,90,73,56,,
2018,4,1,91,72,48,,
2018,4,2,92,69,48,,
2018,4,3,93,68,48,,
2018,4,4,94,65,50,,
2018,4,5,95,64,52,,
2018,4,6,96,65,57,,
2018,4,7,97,67,53,,
2018,4,8,98,63,50,,
2018,4,9,99,73,47,,
2018,4,10,100,66,54,,
2018,4,11,101,63,46,,
