year,month,day,day_of_year,tmax,tmin,precip,rained
1987,1,1,1,55,46,2.9,1
1987,1,2,2,58,39,0.0,0
1987,1,3,3,53,46,25.5,1
1987,1,4,4,55,43,6.8,1
1987,1,5,5,53,42,0.0,0
1987,1,6,6,52,42,10.2,1
1987,1,7,7,53,39,0.0,0
1987,1,8,8,53,41,0.0,0
1987,1,9,9,57,39,3.0,1
1987,1,10,10,58,36,0.0,0
1987,1,11,11,62,36,0.0,0
1987,1,12,12,56,45,0.0,0
1987,1,13,13,52,35,0.0,0
1987,1,14,14,55,34,0.0,0
1987,1,15,15,44,34,0.0,0
1987,1,16,16,48,26,0.0,0
1987,1,17,17,50,34,0.0,0
1987,1,18,18,54,41,0.0,0
1987,1,19,19,55,34,0.0,0
1987,1,20,20,54,32,0.0,0
1987,1,21,21,57,41,0.0,0
1987,1,22,22,55,42,2.2,1
1987,1,23,23,54,44,5.8,1
1987,1,24,24,52,44,7.1,1
1987,1,25,25,68,49,0.0,0
1987,1,26,26,69,48,0.0,0
1987,1,27,27,59,48,7.7,1
1987,1,28,28,56,45,3.9,1
1987,1,29,29,56,44,0.1,1
1987,1,30,30,56,43,15.1,1
1987,1,31,31,59,42,0.0,0
1987,2,1,32,62,40,0.0,0
1987,2,2,33,54,46,14.6,1
1987,2,3,34,59,48,0.0,0
1987,2,4,35,65,40,0.0,0
1987,2,5,36,69,38,0.0,0
1987,2,6,37,74,42,0.0,0
1987,2,7,38,77,50,0.0,0
1987,2,8,39,75,51,0.0,0
1987,2,9,40,65,53,2.5,1
1987,2,10,41,62,53,1.8,1
1987,2,11,42,63,53,2.7,1
1987,2,12,43,59,50,26.8,1
1987,2,13,44,59,48,48.9,1
1987,2,14,45,59,46,0.8,1
1987,2,15,46,55,43,7.1,1
1987,2,16,47,58,40,0.0,0
1987,2,17,48,62,46,0.0,0
1987,2,18,49,60,39,0.0,0
1987,2,19,50,62,41,0.0,0
1987,2,20,51,60,39,0.0,0
1987,2,21,52,51,43,1.2,1
1987,2,22,53,60,42,0.0,0
1987,2,23,54,50,41,0.0,0
1987,2,24,55,52,40,0.2,1
1987,2,25,56,55,41,1.0,1
1987,2,26,57,58,40,0.0,0
1987,2,27,58,57,44,0.0,0
1987,2,28,59,60,43,0.0,0
1987,3,1,60,61,45,0.0,0
1987,3,2,61,62,41,0.5,1
1987,3,3,62,65,50,1.2,1
1987,3,4,63,65,50,0.0,0
1987,3,5,64,60,53,30.7,1
1987,3,6,65,60,46,0.0,0
1987,3,7,66,59,48,0.0,0
1987,3,8,67,58,43,1.3,1
1987,3,9,68,63,46,0.0,0
1987,3,10,69,57,45,0.3,1
1987,3,11,70,63,51,1.6,1
1987,3,12,71,61,49,7.3,1
1987,3,13,72,60,48,2.0,1
1987,3,14,73,54,44,10.2,1
1987,3,15,74,57,40,0.0,0
1987,3,16,75,61,42,0.0,0
1987,3,17,76,62,47,0.0,0
1987,3,18,77,54,43,1.2,1
1987,3,19,78,54,40,0.1,1
1987,3,20,79,56,44,0.2,1
1987,3,21,80,51,42,19.2,1
1987,3,22,81,57,38,0.0,0
1987,3,23,82,56,44,4.5,1
1987,3,24,83,64,40,0.0,0
1987,3,25,84,68,46,0.0,0
1987,3,26,85,71,53,0.0,0
1987,3,27,86,70,46,0.0,0
1987,3,28,87,70,46,0.0,0
1987,3,29,88,70,45,0.0,0
1987,3,30,89,77,50,0.0,0
1987,3,31,90,78,55,0.0,0
1987,4,1,91,73,55,0.0,0
1987,4,2,92,62,49,0.9,1
1987,4,3,93,60,46,2.4,1
1987,4,4,94,64,44,0.0,0
1987,4,5,95,61,44,0.0,0
1987,4,6,96,66,48,0.0,0
1987,4,7,97,72,49,0.0,0
1987,4,8,98,75,50,0.0,0
1987,4,9,99,78,56,0.0,0
1987,4,10,100,69,53,0.0,0
1987,4,11,101,63,47,0.7,1
1987,4,12,102,72,47,0.0,0
1987,4,13,103,77,53,0.0,0
1987,4,14,104,79,55,0.0,0
1987,4,15,105,85,60,0.0,0
1987,4,16,106,84,57,0.0,0
1987,4,17,107,63,49,0.0,0
1987,4,18,108,61,46,0.0,0
1987,4,19,109,71,43,0.0,0
1987,4,20,110,80,48,0.0,0
1987,4,21,111,88,60,0.0,0
1987,4,22,112,86,58,0.0,0
1987,4,23,113,72,53,0.0,0
1987,4,24,114,75,51,0.0,0
1987,4,25,115,83,56,0.0,0
1987,4,26,116,82,59,0.0,0
1987,4,27,117,84,58,0.0,0
1987,4,28,118,70,53,0.0,0
1987,4,29,119,70,52,0.3,1
1987,4,30,120,64,53,8.3,1
1987,5,1,121,64,50,0.6,1
1987,5,2,122,69,45,0.0,0
1987,5,3,123,79,51,0.0,0
1987,5,4,124,86,56,0.0,0
1987,5,5,125,94,66,0.0,0
1987,5,6,126,96,72,0.0,0
1987,5,7,127,98,70,0.0,0
1987,5,8,128,82,69,0.2,1
1987,5,9,129,82,64,0.0,0
1987,5,10,130,86,61,0.0,0
1987,5,11,131,87,60,0.0,0
1987,5,12,132,84,59,0.0,0
1987,5,13,133,89,59,0.0,0
1987,5,14,134,90,64,0.0,0
1987,5,15,135,76,57,0.0,0
1987,5,16,136,66,52,0.0,0
1987,5,17,137,65,50,0.0,0
1987,5,18,138,64,50,0.0,0
1987,5,19,139,65,48,0.0,0
1987,5,20,140,65,50,0.0,0
1987,5,21,141,67,48,0.0,0
1987,5,22,142,70,51,0.0,0
1987,5,23,143,68,50,0.0,0
1987,5,24,144,61,48,0.0,0
1987,5,25,145,61,50,2.1,1
1987,5,26,146,61,49,0.0,0
1987,5,27,147,63,49,0.0,0
1987,5,28,148,70,47,0.0,0
1987,5,29,149,64,48,0.0,0
1987,5,30,150,70,48,0.0,0
1987,5,31,151,70,53,0.0,0
1987,6,1,152,88,54,0.0,0
1987,6,2,153,92,66,0.0,0
1987,6,3,154,82,61,0.0,0
1987,6,4,155,75,54,0.0,0
1987,6,5,156,77,53,0.0,0
1987,6,6,157,82,58,0.0,0
1987,6,7,158,79,57,0.0,0
1987,6,8,159,74,54,0.0,0
1987,6,9,160,74,53,0.0,0
1987,6,10,161,76,54,0.0,0
1987,6,11,162,77,54,0.0,0
1987,6,12,163,90,58,0.0,0
1987,6,13,164,80,59,0.0,0
1987,6,14,165,68,54,0.0,0
1987,6,15,166,71,54,0.0,0
1987,6,16,167,69,50,0.0,0
1987,6,17,168,69,48,0.0,0
1987,6,18,169,72,51,0.0,0
1987,6,19,170,70,52,0.0,0
1987,6,20,171,71,50,0.0,0
1987,6,21,172,69,55,0.0,0
1987,6,22,173,86,52,0.0,0
1987,6,23,174,88,60,0.0,0
1987,6,24,175,90,59,0.0,0
1987,6,25,176,90,66,0.0,0
1987,6,26,177,86,64,0.0,0
1987,6,27,178,77,58,0.0,0
1987,6,28,179,74,55,0.0,0
1987,6,29,180,75,55,0.0,0
1987,6,30,181,72,54,0.0,0
1987,7,1,182,73,52,0.0,0
1987,7,2,183,75,53,0.0,0
1987,7,3,184,71,52,0.0,0
1987,7,4,185,73,51,0.0,0
1987,7,5,186,74,53,0.0,0
1987,7,6,187,81,54,0.0,0
1987,7,7,188,88,56,0.0,0
1987,7,8,189,75,55,0.0,0
1987,7,9,190,81,56,0.0,0
1987,7,10,191,71,55,0.0,0
1987,7,11,192,74,56,0.0,0
1987,7,12,193,80,56,0.0,0
1987,7,13,194,86,60,0.0,0
1987,7,14,195,89,62,0.0,0
1987,7,15,196,87,61,0.0,0
1987,7,16,197,72,54,0.0,0
1987,7,17,198,63,50,0.0,0
1987,7,18,199,70,53,0.0,0
1987,7,19,200,76,52,0.0,0
1987,7,20,201,73,54,0.0,0
1987,7,21,202,71,54,0.0,0
1987,7,22,203,76,53,0.0,0
1987,7,23,204,75,54,0.0,0
1987,7,24,205,74,56,0.0,0
1987,7,25,206,76,54,0.0,0
1987,7,26,207,77,52,0.0,0
1987,7,27,208,77,52,0.0,0
1987,7,28,209,77,53,0.0,0
1987,7,29,210,75,52,0.0,0
1987,7,30,211,77,53,0.0,0
1987,7,31,212,89,56,0.0,0
1987,8,1,213,93,66,0.0,0
1987,8,2,214,94,67,0.0,0
1987,8,3,215,92,67,0.0,0
1987,8,4,216,90,65,0.0,0
1987,8,5,217,92,65,0.0,0
1987,8,6,218,87,63,0.0,0
1987,8,7,219,76,56,0.0,0
1987,8,8,220,82,57,0.0,0
1987,8,9,221,81,57,0.0,0
1987,8,10,222,77,57,0.0,0
1987,8,11,223,78,54,0.0,0
1987,8,12,224,76,55,0.0,0
1987,8,13,225,71,55,0.0,0
1987,8,14,226,67,54,0.0,0
1987,8,15,227,75,54,0.0,0
1987,8,16,228,83,57,0.0,0
1987,8,17,229,83,62,0.0,0
1987,8,18,230,75,57,0.0,0
1987,8,19,231,75,56,0.0,0
1987,8,20,232,76,54,0.0,0
1987,8,21,233,74,53,0.0,0
1987,8,22,234,75,53,0.0,0
1987,8,23,235,76,53,0.0,0
1987,8,24,236,84,55,0.0,0
1987,8,25,237,84,58,0.0,0
1987,8,26,238,81,57,0.0,0
1987,8,27,239,81,56,0.0,0
1987,8,28,240,89,62,0.0,0
1987,8,29,241,95,67,0.0,0
1987,8,30,242,89,66,0.0,0
1987,8,31,243,88,64,0.0,0
1987,9,1,244,92,65,0.0,0
1987,9,2,245,95,70,0.0,0
1987,9,3,246,87,62,0.0,0
1987,9,4,247,73,57,0.0,0
1987,9,5,248,73,54,0.0,0
1987,9,6,249,75,56,0.0,0
1987,9,7,250,81,54,0.0,0
1987,9,8,251,92,60,0.0,0
1987,9,9,252,78,59,0.0,0
1987,9,10,253,73,54,0.0,0
1987,9,11,254,70,54,0.0,0
1987,9,12,255,66,53,0.0,0
1987,9,13,256,67,55,0.0,0
1987,9,14,257,72,55,0.0,0
1987,9,15,258,77,56,0.0,0
1987,9,16,259,85,59,0.0,0
1987,9,17,260,83,64,0.0,0
1987,9,18,261,84,61,0.0,0
1987,9,19,262,87,62,0.0,0
1987,9,20,263,93,65,0.0,0
1987,9,21,264,95,66,0.0,0
1987,9,22,265,83,60,0.0,0
1987,9,23,266,75,56,0.0,0
1987,9,24,267,74,54,0.0,0
1987,9,25,268,72,52,0.0,0
1987,9,26,269,80,55,0.0,0
1987,9,27,270,86,61,0.0,0
1987,9,28,271,89,65,0.0,0
1987,9,29,272,92,69,0.0,0
1987,9,30,273,91,68,0.0,0
1987,10,1,274,84,63,0.0,0
1987,10,2,275,86,59,0.0,0
1987,10,3,276,94,67,0.0,0
1987,10,4,277,100,77,0.0,0
1987,10,5,278,103,75,0.0,0
1987,10,6,279,92,65,0.0,0
1987,10,7,280,77,58,0.0,0
1987,10,8,281,74,56,0.0,0
1987,10,9,282,69,54,0.0,0
1987,10,10,283,74,53,0.0,0
1987,10,11,284,78,58,0.0,0
1987,10,12,285,74,56,0.0,0
1987,10,13,286,70,55,0.0,0
1987,10,14,287,75,53,0.0,0
1987,10,15,288,75,55,0.0,0
1987,10,16,289,77,52,0.0,0
1987,10,17,290,83,60,0.0,0
1987,10,18,291,85,65,0.0,0
1987,10,19,292,77,56,0.0,0
1987,10,20,293,69,54,0.0,0
1987,10,21,294,76,56,1.1,1
1987,10,22,295,69,60,17.1,1
1987,10,23,296,64,57,13.4,1
1987,10,24,297,71,59,0.0,0
1987,10,25,298,79,61,0.0,0
1987,10,26,299,82,65,2.7,1
1987,10,27,300,79,63,6.7,1
1987,10,28,301,69,59,1.7,1
1987,10,29,302,66,57,0.2,1
1987,10,30,303,68,54,0.0,0
1987,10,31,304,69,57,0.0,0
1987,11,1,305,61,51,0.0,0
1987,11,2,306,58,47,0.4,1
1987,11,3,307,66,51,0.0,0
1987,11,4,308,71,54,0.0,0
1987,11,5,309,64,52,1.5,1
1987,11,6,310,62,54,1.0,1
1987,11,7,311,68,54,0.0,0
1987,11,8,312,68,53,1.3,1
1987,11,9,313,69,53,2.2,1
1987,11,10,314,69,50,0.0,0
1987,11,11,315,74,51,0.0,0
1987,11,12,316,67,55,0.0,0
1987,11,13,317,60,50,13.6,1
1987,11,14,318,59,46,0.0,0
1987,11,15,319,61,46,0.0,0
1987,11,16,320,60,48,0.0,0
1987,11,17,321,58,52,5.0,1
1987,11,18,322,69,49,0.0,0
1987,11,19,323,71,52,0.0,0
1987,11,20,324,59,51,9.3,1
1987,11,21,325,58,46,0.0,0
