year,month,day,day_of_year,tmax,tmin,precip,rained
1961,1,1,1,54,33,0.0,0
1961,1,2,2,56,34,0.0,0
1961,1,3,3,56,33,0.0,0
1961,1,4,4,57,35,0.0,0
1961,1,5,5,55,34,0.0,0
1961,1,6,6,59,36,0.0,0
1961,1,7,7,55,37,0.0,0
1961,1,8,8,58,38,0.0,0
1961,1,9,9,57,41,0.0,0
1961,1,10,10,66,38,0.0,0
1961,1,11,11,65,41,0.0,0
1961,1,12,12,56,44,0.0,0
1961,1,13,13,58,44,0.0,0
1961,1,14,14,59,42,0.0,0
1961,1,15,15,61,40,0.0,0
1961,1,16,16,66,36,0.0,0
1961,1,17,17,67,37,0.0,0
1961,1,18,18,67,35,0.0,0
1961,1,19,19,65,34,0.0,0
1961,1,20,20,66,34,0.0,0
1961,1,21,21,67,36,0.0,0
1961,1,22,22,65,47,0.0,0
1961,1,23,23,65,48,0.2,1
1961,1,24,24,65,43,0.0,0
1961,1,25,25,64,49,8.2,1
1961,1,26,26,55,50,16.3,1
1961,1,27,27,59,46,0.2,1
1961,1,28,28,60,42,0.0,0
1961,1,29,29,57,49,8.9,1
1961,1,30,30,62,48,0.3,1
1961,1,31,31,59,54,13.7,1
1961,2,1,32,60,51,9.7,1
1961,2,2,33,59,51,7.6,1
1961,2,3,34,60,46,0.0,0
1961,2,4,35,66,46,0.0,0
1961,2,5,36,67,45,0.0,0
1961,2,6,37,56,47,0.9,1
1961,2,7,38,58,44,0.0,0
1961,2,8,39,59,43,3.6,1
1961,2,9,40,63,49,12.9,1
1961,2,10,41,58,48,0.0,0
1961,2,11,42,55,47,23.0,1
1961,2,12,43,55,40,0.1,1
1961,2,13,44,58,46,0.0,0
1961,2,14,45,60,47,0.0,0
1961,2,15,46,54,46,7.6,1
1961,2,16,47,58,41,0.0,0
1961,2,17,48,57,42,0.4,1
1961,2,18,49,58,40,0.0,0
1961,2,19,50,62,43,0.0,0
1961,2,20,51,68,43,0.0,0
1961,2,21,52,70,44,0.0,0
1961,2,22,53,60,44,0.0,0
1961,2,23,54,63,39,0.0,0
1961,2,24,55,65,42,0.0,0
1961,2,25,56,61,46,0.0,0
1961,2,26,57,59,40,0.0,0
1961,2,27,58,59,45,0.0,0
1961,2,28,59,66,44,0.0,0
1961,3,1,60,66,48,0.0,0
1961,3,2,61,55,45,0.0,0
1961,3,3,62,55,38,0.0,0
1961,3,4,63,54,45,6.5,1
1961,3,5,64,52,44,12.0,1
1961,3,6,65,55,43,3.7,1
1961,3,7,66,59,43,0.0,0
1961,3,8,67,60,45,0.0,0
1961,3,9,68,59,44,0.0,0
1961,3,10,69,56,46,0.0,0
1961,3,11,70,60,44,0.7,1
1961,3,12,71,61,42,0.0,0
1961,3,13,72,65,48,0.0,0
1961,3,14,73,60,49,6.3,1
1961,3,15,74,54,43,23.3,1
1961,3,16,75,56,43,3.6,1
1961,3,17,76,57,42,9.1,1
1961,3,18,77,62,42,0.0,0
1961,3,19,78,58,44,1.7,1
1961,3,20,79,60,44,0.1,1
1961,3,21,80,61,42,0.0,0
1961,3,22,81,63,47,1.0,1
1961,3,23,82,57,47,0.8,1
1961,3,24,83,54,43,13.1,1
1961,3,25,84,54,40,1.3,1
1961,3,26,85,54,42,1.3,1
1961,3,27,86,54,44,0.9,1
1961,3,28,87,65,41,0.0,0
1961,3,29,88,70,45,0.0,0
1961,3,30,89,61,45,0.0,0
1961,3,31,90,61,44,0.0,0
1961,4,1,91,70,48,0.0,0
1961,4,2,92,83,53,0.0,0
1961,4,3,93,86,64,0.0,0
1961,4,4,94,83,56,0.0,0
1961,4,5,95,77,52,0.0,0
1961,4,6,96,65,47,0.0,0
1961,4,7,97,71,47,0.0,0
1961,4,8,98,76,54,0.0,0
1961,4,9,99,62,46,0.0,0
1961,4,10,100,71,46,0.0,0
1961,4,11,101,75,53,0.0,0
1961,4,12,102,55,45,1.9,1
1961,4,13,103,66,44,0.0,0
1961,4,14,104,76,48,0.0,0
1961,4,15,105,82,58,0.0,0
1961,4,16,106,76,52,0.0,0
1961,4,17,107,64,46,0.0,0
1961,4,18,108,56,44,0.0,0
1961,4,19,109,59,41,0.0,0
1961,4,20,110,60,43,0.9,1
1961,4,21,111,58,44,13.5,1
1961,4,22,112,57,42,7.5,1
1961,4,23,113,55,43,9.2,1
1961,4,24,114,61,45,0.0,0
1961,4,25,115,66,48,0.0,0
1961,4,26,116,65,45,0.0,0
1961,4,27,117,68,48,0.0,0
1961,4,28,118,75,51,0.0,0
1961,4,29,119,62,48,0.7,1
1961,4,30,120,67,48,0.0,0
1961,5,1,121,63,49,1.2,1
1961,5,2,122,68,43,0.0,0
1961,5,3,123,60,44,0.0,0
1961,5,4,124,64,41,0.0,0
1961,5,5,125,60,43,0.0,0
1961,5,6,126,60,48,14.4,1
1961,5,7,127,65,45,0.0,0
1961,5,8,128,70,50,0.0,0
1961,5,9,129,63,48,0.3,1
1961,5,10,130,62,50,3.9,1
1961,5,11,131,62,48,3.7,1
1961,5,12,132,67,46,0.0,0
1961,5,13,133,66,48,0.0,0
1961,5,14,134,74,46,0.0,0
1961,5,15,135,66,47,0.0,0
